Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"262144/256" 8908857 8835619 8766161 9112039 9023869 
"262144/512" 9025128 8891350 8944441 9071967 8269006 
"262144/1024" 8928244 8989562 8935936 8188700 9060977 
"262144/2048" 9008638 9139078 8761481 8170020 7151676 
"262144/4096" 7311224 7275520 7225224 7231116 7368945 
"262144/8192" 5671538 5642722 5707070 5624105 5626609 
"262144/16384" 5698403 5625055 5718408 5649536 5677189 
"524288/64" 8894832 9080613 8891200 9128183 9021233 
"524288/128" 9015796 9036507 8292918 9168105 9031200 
"524288/256" 9066648 9154212 9026825 9106183 9084252 
"524288/512" 9038995 9076528 9055373 9150213 8397615 
"524288/1024" 7501517 8444147 9079376 9173918 9098121 
"524288/2048" 8990474 9074505 9087856 9048182 8986616 
"524288/4096" 7531577 7344305 7399863 7408438 7532015 
"524288/8192" 5714868 5723615 5723108 5716235 5699154 
"524288/16384" 5756728 5748271 5744622 5714126 5717112 
