Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"2048/256" 233817 232891 208090 234910 223040 114771 60780 22941 23039 493736 226028 178352 199395 209941 220001 110243 19676 18653 20599 449621 
"2048/512" 260887 300559 343215 288690 365267 122174 145216 23670 23816 627836 300254 259038 287444 242943 232042 117369 20151 19209 21993 126536 
"2048/1024" 382100 396291 439207 212187 462500 122591 108011 24205 24334 792882 419926 347646 457963 367675 413916 115588 20633 19774 22610 52997 
"2048/2048" 488097 553232 499623 522444 537112 131695 129759 24885 24824 808859 462202 610956 624186 430793 519914 92582 20447 19996 22858 460739 
"4096/4" 16324 17816 16985 19050 18076 89802 84966 26122 25926 73790 14993 18718 18108 17205 18444 74142 19384 24648 23093 68668 
"4096/8" 14205 24973 25222 23592 22001 55793 41418 27547 27409 138927 20530 23029 28244 27425 25618 86570 19647 87312 82807 139928 
"4096/16" 49367 59405 58300 52682 44432 107289 99176 28453 27688 193208 54860 35379 51477 48967 45790 92934 20079 108765 111986 202321 
"4096/32" 92900 88269 87859 86651 90216 111988 106456 35435 24264 280777 61200 64124 77764 80699 86175 90479 19587 113860 117344 281204 
"4096/64" 129715 122642 125041 125003 133185 112980 144560 113171 27997 382158 134378 123993 121068 132419 137021 137736 19817 104679 106872 383164 
"4096/128" 180679 162915 168262 166597 173025 119337 105028 73720 27736 428011 174445 180472 174796 178420 194593 116955 19174 105602 143090 208438 
"4096/256" 237393 238153 213778 246745 208820 108287 110700 193910 28464 577226 216469 228368 219635 233762 216950 107003 20724 106489 108253 459713 
"4096/512" 280086 283539 325026 274417 341930 118176 105039 165963 30755 658944 290540 315488 262092 300028 289589 107607 20975 146715 141319 504299 
"4096/1024" 423307 386343 463146 400745 413566 138574 143266 101065 7252 727812 473956 423976 406231 458572 317394 107185 21095 409641 412602 639184 
"4096/2048" 571903 509579 633760 517375 584969 112734 451604 114243 31720 655975 535501 588416 440862 533738 578528 105249 20402 96012 104972 823468 
"4096/4096" 529396 628107 505426 535285 523316 198142 446197 117256 31753 707811 616035 354539 524723 554031 33733 119594 22262 99136 17043 797957 
"8192/4" 20022 17395 18436 21224 17855 92775 80826 31761 34849 88124 18320 20792 16768 18206 20968 78422 23950 63286 76714 86956 
"8192/8" 30009 23760 26151 21940 29107 132082 93013 87224 87800 110791 23144 24041 24810 34788 37152 94698 25221 86660 102318 145975 
"8192/16" 79291 67461 79739 73975 78603 224064 23151 103643 33880 206534 54652 56847 61640 55701 73955 94621 97028 102939 110692 28498 
"8192/32" 80751 63575 65487 85036 64588 317320 101841 29265 102094 299481 69454 61751 51153 71550 68978 93562 102326 98557 79289 284642 
"8192/64" 129932 124089 122870 125363 121897 195559 357278 104347 135378 403464 114565 132670 119762 119653 120099 141480 108923 87860 109078 347145 
"8192/128" 166072 171696 161126 166945 161868 421613 458779 105545 106272 431358 174156 174186 162347 130906 183512 100218 103024 40066 98859 415224 
"8192/256" 241246 240016 202312 243201 218821 581818 551575 94498 99162 408398 234593 229166 237828 241708 258342 90174 81416 100603 106334 537073 
"8192/512" 290323 279018 327995 312922 356747 451675 664395 98524 23853 693298 338050 263756 263458 298433 281153 219908 99093 99655 100850 354539 
"8192/1024" 425914 433070 419134 433026 416811 727932 734515 104192 98745 471943 483532 395768 470450 468277 437420 105909 87552 123606 83546 662678 
"8192/2048" 564386 612901 548616 502601 521449 699865 743929 105651 136610 443868 622021 468002 631127 548835 523913 103985 4420 18114 115822 626684 
"8192/4096" 625919 514954 561481 546322 540300 679720 680231 102875 138823 78320 515055 194703 679828 543599 445046 108161 6821 106990 107533 627646 
"8192/8192" 607075 538100 523921 553744 533786 646761 387642 100690 110166 145400 689209 105015 539765 630051 131122 103831 7671 109656 112859 835661 
"16384/4" 18353 18307 16736 20209 16579 76591 70029 5459 73949 73399 17798 20215 17736 17220 18506 26530 79437 73427 79309 89024 
"16384/8" 23582 27478 25983 27179 32283 175652 139615 44036 77008 140067 21170 26453 27161 48360 25855 86413 63259 84192 73338 130055 
"16384/16" 87184 83535 90064 74883 106653 191675 198885 102917 104504 245250 67243 78961 84790 75063 64301 99264 102094 78903 108500 232311 
"16384/32" 102452 94051 93523 93105 107319 331907 249004 88515 217444 102793 83280 77049 79389 78508 85280 39761 112189 104029 100403 231540 
"16384/64" 113645 89988 126887 107622 110655 329280 349413 108155 329976 104338 101772 85477 109927 132769 106376 102648 103867 85202 37288 105780 
"16384/128" 156489 148173 163005 163273 142726 512400 91308 122268 94229 105271 162025 153746 171787 127166 173708 36029 108787 111373 100836 263463 
"16384/256" 203809 193579 176175 207339 195366 385188 110309 119547 118110 102836 196359 194473 220040 205813 240774 106514 113689 30511 96168 568451 
"16384/512" 295143 265581 316391 227413 345050 489340 112258 15651 106177 66668 347457 264487 242313 254881 331030 118000 86888 106453 97607 458026 
"16384/1024" 455488 377511 459515 453223 421463 439400 322239 12007 108929 99173 398443 417053 361493 275644 470453 52692 100312 118131 138906 753661 
"16384/2048" 640700 564789 553815 632468 605112 673715 106538 114688 98029 100445 652979 652719 192943 485019 458497 99613 375272 99985 43509 457971 
"16384/4096" 594959 628874 578569 598941 613102 580480 36688 87873 63634 99414 688897 303002 523849 265508 480411 40903 113311 135561 100446 451624 
"16384/8192" 592916 638598 595263 579042 599820 709510 108112 120468 106146 37458 503657 249083 167709 305746 108852 51159 21550 118255 8122 713221 
"16384/16384" 585500 563178 587618 575117 659104 704079 101989 128194 92933 36021 569993 91797 161442 78500 146865 43986 13612 107777 9551 740353 
"32768/64" 144286 145225 147864 120425 131839 368142 113397 57783 114401 41042 139795 145708 146906 128550 144821 113500 12302 12812 31350 378580 
"32768/128" 160544 151715 153052 165743 155852 408344 56364 105210 200928 50186 137968 150031 149339 144597 148175 108287 13321 109074 99576 390960 
"32768/256" 207241 210648 191455 197276 196641 466095 515113 104016 87009 124220 179644 186443 181139 210626 203744 122459 17172 34619 95781 410729 
"32768/512" 243637 225600 306348 240854 299374 100912 622809 103424 36521 133744 237370 253283 221255 266725 228537 110891 113720 382027 39645 107812 
