Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"1024/256" 6016997 6974549 7369466 7008693 5169641 7066349 4415030 4095102 4110780 6199382 4614246 7257394 6163794 5444898 4995276 6317933 4095102 4392454 6059442 6137371 
"1024/512" 6402699 5018624 7269678 4574926 7420395 6918376 5885083 4339202 4410497 4570058 5917516 4720752 4356809 4720752 6650556 6102490 4146499 4339202 6059442 4396951 
"1024/1024" 4451639 4972145 6863100 7113161 5042191 4589593 4415030 4451639 4474829 6733974 6692005 6650556 4433259 3880507 5564829 4321737 4396951 4410497 4396951 3761557 
"2048/4" 5738844 6359119 3841986 4054139 5785224 4063729 5521212 3715681 3477979 4112366 5564129 4114336 4081105 5507054 4663865 3917325 3885431 3604966 3779440 4071433 
"2048/8" 6675393 6202989 4531020 4180412 6845629 4603874 4321315 4223576 3915540 4376355 4128177 4231899 4453499 3814687 4170264 4231899 4056054 3993821 5852228 4238163 
"2048/16" 5640860 6284678 6690992 4621211 6114678 6851089 5611381 4170264 4120256 5596757 4531020 4321315 4385291 4079167 4460436 4213218 4204968 5222461 4403275 4623699 
"2048/32" 6984790 6649556 7262337 4937295 6298503 4994712 6020395 4423683 4441984 4663865 4490751 3855782 6280083 4900677 7065219 4330028 4284671 4405533 6185123 4960102 
"2048/64" 7036283 6608629 4889518 4783331 7343043 4543002 6786139 4347560 4112366 5068389 3821475 7165410 5032754 4820915 6363830 4301837 4338776 6807652 4783331 4531020 
"2048/128" 6543188 4775354 5044577 4911886 7419150 4293237 6945257 6317030 3179330 4686767 6445001 5836323 4720248 4886737 4911886 4265523 4394265 3413030 6321679 5032754 
"2048/256" 7393606 4762117 5071381 7393606 7262337 4502520 4911886 4531020 5852228 6670210 4751580 4911886 4581773 6603549 7159438 4469720 4071433 4579330 6851089 5119743 
"2048/512" 4676561 6459541 7393606 6917293 7368238 4274012 4611288 4807425 4656281 7846081 4807425 6873016 6483920 7286980 4829046 4613765 3075736 4829046 4403275 4829046 
"2048/1024" 4603874 7419150 3991965 5920802 4321315 4994712 4900677 4960102 4653758 5071381 4611288 4762117 4911886 4911886 6401772 4414590 4572018 4284671 4581773 4490751 
"2048/2048" 6732948 7336772 6780783 4889518 7343043 4762117 4741090 4591569 5032754 5009275 4829046 4562305 4785996 5738844 5107566 4248644 6317030 4730646 4481379 4842658 
"4096/4" 3927899 6398924 4311344 4087714 5159420 3785942 6142675 4019805 3643812 4136930 3937802 4100397 4256862 4125010 4935601 3821310 5558378 4058742 3792628 5719367 
"4096/8" 6370451 4437172 4612286 6330545 6389405 4495223 4347346 5178081 4399673 6625976 6682678 5713661 4526013 4348447 4718699 4214051 4201683 2762123 4470657 4418911 
"4096/16" 4729091 7222056 7264812 5433562 7135072 4681411 4696769 4530788 4462528 6420447 5057654 6883496 4707064 4423462 6953144 6261328 5934722 4686519 5833956 6955959 
"4096/32" 4887857 5409609 6858763 5859825 7380284 4510565 4817948 4982841 4380601 6490793 6953144 6826060 4835578 4819300 4576653 3824713 4623457 6585338 4385074 7161842 
"4096/64" 6790983 4975625 7599002 5026578 4887857 4686519 4566920 3297602 4801789 7197849 4703198 5902100 4934183 7237268 6682678 4801789 4540367 4607338 4864330 7004170 
"4096/128" 6941906 6060333 5133213 5051705 5019235 4941279 4928521 4882301 4746074 7237268 4751325 4934183 6178018 5020702 4853336 4842392 4681411 4917236 4746074 7277121 
"4096/256" 4922872 4789740 4681411 5081590 4746074 4846491 3562214 4847858 4801789 7200866 4922872 4734303 5312585 4187346 4929936 4680135 4471821 4887857 4718699 6669706 
"4096/512" 5601877 6953144 6897314 6883496 4910209 4893426 4756587 4824714 6361016 4725189 6735075 6703539 5936773 4887857 7326777 4530788 4757904 4887857 5171846 4941279 
