Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"2048/256" 327312 331608 276267 326901 283339 74709 76478 78473 79027 364477 357039 324972 272119 314352 239088 72908 180090 109366 220024 391362 
"2048/512" 377715 384392 444641 390455 459900 153039 150366 308426 151277 489823 465659 475717 297674 328476 322568 145270 141240 364338 255047 152802 
"2048/1024" 532385 533609 572250 535705 570463 302560 440898 275196 452678 591072 545399 545399 499014 531397 376540 290447 290949 488652 539778 341333 
"2048/2048" 718594 649532 760722 732192 834881 336243 398830 433073 553517 670365 753449 598484 816626 656431 810156 481990 628985 570805 607500 570463 
"4096/4" 20068 32422 24350 24784 21850 11253 10101 12849 13337 28940 23095 11632 19053 17219 13087 18005 14558 5634 10482 21626 
"4096/8" 44506 25338 37272 46865 35409 16277 26152 24887 31849 34784 29254 19911 27066 20303 22803 27904 28203 20241 34916 34129 
"4096/16" 61791 76093 43223 39680 70504 35157 62438 52334 49796 70387 43812 37868 44817 32229 30192 37769 58488 44727 30342 70189 
"4096/32" 108567 69565 149254 145517 76233 104454 94764 101268 56762 134613 78173 133776 108759 50013 53512 89078 86991 98765 105648 131252 
"4096/64" 224673 209748 202321 210612 209782 192003 79855 140785 140173 211590 191340 170305 197044 148922 145244 80558 116485 102012 80868 218024 
"4096/128" 247431 252030 254204 248541 254978 64485 147598 65705 211166 350382 323411 261709 319424 141392 177647 177731 210061 185558 131425 315853 
"4096/256" 341590 337841 277319 376192 285556 274290 187838 152408 210809 465190 398754 293217 405982 251014 215308 75953 75967 150086 280282 382337 
"4096/512" 393430 398209 486051 397169 447791 156742 138974 173890 145268 442725 472171 443193 547011 238305 420881 152881 168642 141606 185911 439812 
"4096/1024" 566304 586327 569684 551046 597876 295421 649110 301064 314495 667106 648497 549935 737877 377689 649944 292882 299171 295096 275473 664192 
"4096/2048" 834022 848732 885432 838827 805213 377332 706676 396738 623163 680989 855494 823666 799070 524931 894700 433618 342762 338507 359834 1079557 
"4096/4096" 908228 925399 898678 884292 829472 610518 702457 730380 741764 634932 646472 741348 825328 774014 848564 567389 220453 590458 542879 1249553 
"8192/4" 24316 11740 17680 23702 16732 13291 11385 10319 9845 19960 21055 10491 20078 11820 16958 9549 10440 9289 12036 15868 
"8192/8" 28720 39410 19564 22114 18270 33950 16391 17989 23796 38418 23569 14464 23427 15928 23903 19930 19082 15651 26486 34485 
"8192/16" 49539 34739 50170 49763 33175 50768 25891 28797 41261 63758 34062 36877 38018 33355 44768 30512 62107 31365 36388 69338 
"8192/32" 71251 64530 63958 76861 70682 113409 73980 87502 61970 124794 79228 50862 89190 48022 89452 71121 48377 97173 75544 39444 
"8192/64" 68307 93049 99755 80035 79217 215335 195229 55520 87352 214096 107205 57587 115958 64628 87449 139623 83005 131032 71534 216364 
"8192/128" 248311 251419 251296 247597 252246 176662 305423 153967 177565 299632 285425 178841 347472 213483 142125 172158 72019 74696 94095 276655 
