Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"262144/256" 9393135 12317690 12430348 12164514 12342579 
"262144/512" 12207598 12171247 12217093 12116123 12327495 
"262144/1024" 11909684 10957443 12539220 11756363 11874057 
"262144/2048" 8973568 12109851 12122268 12095996 12453861 
"262144/4096" 8887470 9402533 9607268 9363617 9255864 
"262144/8192" 6932835 6890906 6951771 6903062 6923841 
"262144/16384" 7016316 6813741 6930999 6972313 6946983 
"524288/64" 12202708 12108571 12326860 12281834 11835762 
"524288/128" 12526848 12430053 12649274 11926206 11988363 
"524288/256" 12571608 12197902 12528133 12483611 12595226 
"524288/512" 12559617 12568949 12728200 12034881 12380507 
"524288/1024" 12487227 12552018 12797533 12660635 12223192 
"524288/2048" 12491979 12644110 12675961 12152602 12072276 
"524288/4096" 9261587 9710821 9686780 9529902 9420651 
"524288/8192" 6983713 7008932 6961273 6978039 6973592 
"524288/16384" 7007882 6989306 6995932 6992729 6863115 
