Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"262144/256" 8566523 11326086 10951005 10731360 11605470 
"262144/512" 10048836 11035306 10570722 9624171 10965640 
"262144/1024" 11151707 11230071 9643332 10619114 11069413 
"262144/2048" 9400202 9321386 11005152 11054389 10724661 
"262144/4096" 9229758 9499036 7684120 8447267 9059409 
"262144/8192" 7059745 6363805 6871913 6807708 6975985 
"262144/16384" 7091893 6854904 6394040 6890517 6965997 
"524288/64" 10925205 9952141 9616966 11452601 10997106 
"524288/128" 11282029 12304650 11970873 9353254 11087597 
"524288/256" 10982167 9136944 10869421 10902185 9810594 
"524288/512" 11741098 11020253 11934297 12393624 9335941 
"524288/1024" 11980983 12624945 11936499 11564019 12008134 
"524288/2048" 11382237 10169890 11509124 9809675 12124193 
"524288/4096" 8455706 9806569 8148338 9029642 8500683 
"524288/8192" 7035167 6536117 6964691 6832727 6822573 
"524288/16384" 7100315 6614303 7021308 6616871 7013515 
