Mode 6-HDD-1-NVMe/encryption-1 6-HDD-1-NVMe/encryption-2 6-HDD-1-NVMe/encryption-3 6-HDD-1-NVMe/encryption-4 6-HDD-1-NVMe/encryption-5 
"262144/256" 4054817 3994087 4055565 4052366 4092929 
"262144/512" 4006297 4013844 4011823 4018333 3987468 
"262144/1024" 4001530 4000001 4022464 3978810 4007772 
"262144/2048" 3824523 3844986 3852747 3828319 3728449 
"262144/4096" 3653775 3661489 3674263 3679686 3619174 
"262144/8192" 3703957 3694200 3694933 3680141 3680967 
"262144/16384" 4181864 4185063 4179193 4102780 4149416 
"524288/64" 4866228 4968749 4927200 4715070 4940939 
"524288/128" 4462558 4341281 4535089 4509468 4500635 
"524288/256" 4058992 3931370 3844850 4055818 4096771 
"524288/512" 3910989 4026978 3986100 3843130 3837898 
"524288/1024" 3880915 4013535 3907785 4021418 3909125 
"524288/2048" 3649608 3793664 3865457 3841700 3730415 
"524288/4096" 3651462 3556420 3648718 3524958 3659367 
"524288/8192" 3671330 3557243 3677100 3670790 3558717 
"524288/16384" 3930190 4093667 4103529 3887791 4092547 
