Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"2048/256" 323796 310972 259696 322580 265417 75084 74396 95455 104266 320450 353599 172739 265943 147252 193224 72887 75202 85575 175105 350512 
"2048/512" 373933 375650 435378 382083 444457 160653 145147 201278 152835 491701 459212 277885 188948 346412 126287 146671 152155 247614 131772 180188 
"2048/1024" 528650 526866 568087 512501 572402 287511 603403 303715 495759 590543 524454 378431 524999 406839 254224 260863 294803 510491 341279 295910 
"2048/2048" 710628 634420 752130 732254 824148 386345 389128 606470 662557 693978 721127 343284 798706 688196 543089 470145 629584 625322 673677 602387 
"4096/4" 28770 29956 30365 29155 30591 10841 10095 14366 16197 18747 27990 24604 29468 22159 18514 12788 27949 13562 10929 14203 
"4096/8" 57907 54244 57788 53570 58138 11398 23460 18399 21554 34803 39968 33383 38095 32480 33197 29308 29291 35083 24784 34310 
"4096/16" 101163 95184 99321 99179 100791 55708 50685 32433 44035 73200 76580 54875 75544 48292 65533 37901 45934 44633 47237 70447 
"4096/32" 150943 124159 149812 118432 152910 79045 49536 108477 52487 137833 128971 90850 128035 87334 81117 60999 75810 81165 50446 132005 
"4096/64" 214853 204481 205962 211146 204861 98617 60401 51848 118518 211898 192300 176855 203678 127011 145671 63736 64955 138673 74343 218615 
"4096/128" 246568 240107 250093 249327 252623 69782 73835 71234 212160 341413 307481 208216 311078 124241 185961 219576 184430 86079 107012 313245 
"4096/256" 337536 343276 270861 348717 272014 296169 86144 66434 169326 432755 381878 288408 388765 244961 162599 74167 80007 122235 245771 358453 
"4096/512" 378838 374985 483997 394370 121875 152126 137597 152761 148308 493138 498605 365974 528305 294762 288675 196290 157537 144336 169726 407445 
"4096/1024" 543309 517375 570384 368945 594566 312311 550322 289961 329736 629465 603590 470039 594319 410463 586227 287578 302197 263410 291491 174699 
"4096/2048" 744335 851550 873368 847308 789995 381801 719340 402916 580247 702946 952753 724192 757396 678702 788725 461628 370576 394415 403986 988894 
"4096/4096" 894328 929606 905595 905165 824971 572532 1035630 561951 652016 1059452 824338 818057 782118 920441 190538 580326 659576 595348 547220 1065298 
"8192/4" 35108 41797 39539 40934 45797 14518 15843 10723 9799 27657 31520 21756 31714 24978 35384 15690 9925 10973 10613 35140 
"8192/8" 60495 64515 67393 60570 64470 33759 28867 32414 26327 24977 34851 33443 40368 35557 37287 27157 30288 29771 28910 34196 
"8192/16" 98237 99846 94300 98052 103562 69173 23266 46552 44180 63663 76245 60677 74210 53599 64162 55947 54998 37954 43672 69336 
"8192/32" 147419 149135 153823 151433 148424 129996 72873 94963 68895 110491 127260 71469 123384 82763 118059 29555 66505 105470 66895 44941 
"8192/64" 202007 187666 196159 199285 164125 220575 173931 63383 62342 213000 180722 135021 163777 119251 184293 152733 61658 43251 61799 199766 
"8192/128" 234465 248944 203553 246167 258113 310976 296973 158827 112073 305648 217727 162262 318914 211416 253536 156470 79310 70762 82495 263196 
"8192/256" 281020 334463 279209 335175 282482 349935 370848 80199 142464 392845 76094 231706 378470 188864 203491 183643 75155 206566 75302 459165 
"8192/512" 379034 388097 486662 380300 461131 434730 510244 241089 140459 463870 338934 237670 557545 369210 342075 154376 141796 225409 154618 515541 
"8192/1024" 86479 371284 561830 435165 605118 619342 686552 306619 233755 604129 598968 270703 551655 490245 353849 292122 319664 263628 335804 584639 
"8192/2048" 782578 335515 813271 637308 832603 668141 778923 393506 416048 661338 1017258 655035 717280 605108 577505 404542 598781 346900 563257 906378 
"8192/4096" 824472 823741 842980 828888 880865 851040 867323 592288 645498 185109 792560 780551 1019401 735962 819595 268088 534276 589818 534583 730517 
"8192/8192" 948697 844016 846720 827311 903803 913657 743028 608074 540402 685237 1118087 724632 737225 770712 864226 662563 810355 557916 856449 916337 
"16384/4" 42072 58223 55526 54902 56391 24192 28507 10670 9874 11507 31625 23123 34224 24909 21528 9802 13083 13139 13315 27873 
"16384/8" 73731 74321 76606 81243 78932 33278 34019 25131 31975 32635 38111 42215 40696 39376 36274 26808 34655 33127 35340 34136 
"16384/16" 106213 106268 121212 112977 86427 47383 70250 52343 57254 44208 70063 70170 67947 62027 63870 54849 51969 20585 48675 68206 
"16384/32" 145657 138786 138761 135591 145645 131728 131036 67399 32866 30480 106327 102981 100409 93582 89150 75863 68518 77811 72404 132730 
"16384/64" 186508 203126 208045 186669 201693 209067 210334 89638 63733 62068 172279 169022 174007 124556 106430 112813 61240 67024 99924 151637 
"16384/128" 215672 183157 193250 232489 197857 366885 139382 116244 140752 148810 178267 184222 151392 142791 130694 93197 174531 140599 155360 74678 
"16384/256" 342353 314435 270662 339677 257265 373058 170555 168364 211150 84165 378436 280557 267940 55181 221420 124717 89091 97813 60384 394187 
"16384/512" 351016 381334 483930 319183 460599 494417 118599 172921 102720 170903 626346 630732 424643 270363 284806 183621 209739 143229 151881 435523 
"16384/1024" 556366 528412 569875 563894 567864 575198 285897 219633 277530 286083 630617 583724 386588 438133 315629 300563 290296 294596 272944 622375 
"16384/2048" 793071 787355 832692 855509 817974 721632 462381 603375 387172 474595 729476 501255 486258 435154 667342 424677 425292 602285 386223 854626 
"16384/4096" 451811 863909 858974 889862 858115 914749 626803 555763 439709 559127 837115 915297 894076 674263 803099 504263 510372 530706 715546 772095 
"16384/8192" 994352 882956 868769 906807 858426 1322372 769312 705178 620089 647790 874696 425990 1082165 454771 674296 802987 780231 638201 421476 701908 
"16384/16384" 999326 1028629 1008610 1024458 986458 742136 898930 670814 680230 714088 932867 910785 1050390 904539 637686 871534 845759 914433 706207 1461811 
"32768/64" 143125 174499 182633 180401 135247 207048 87185 60265 67533 56438 168151 132635 144657 136010 175026 56521 75619 61839 58863 230174 
"32768/128" 220497 226307 230607 224025 221625 356922 208656 71164 93162 84647 212226 166856 56064 154751 236383 125654 126507 135316 145001 218320 
"32768/256" 194031 293891 221299 250249 202605 353392 464255 138705 171439 73756 277895 210917 167003 241495 290082 133579 140652 161375 83520 434151 
"32768/512" 289964 330943 353759 314134 355104 264172 545406 144521 183817 165884 374384 247131 220030 255688 358971 105489 171449 407156 139432 150398 
"32768/1024" 402279 502614 530527 450184 541610 284032 378007 279049 288232 273591 470520 655098 317861 318476 553270 302332 307412 306246 278745 610479 
"32768/2048" 629343 690537 685509 741223 480462 383359 1059049 524060 441148 419467 733145 1002269 561383 364636 624618 444944 390369 428984 385283 1055057 
"32768/4096" 863495 736279 731393 726771 850121 533038 1077050 552252 590085 546396 667659 831316 767438 550657 663079 474913 351196 544923 563450 1233512 
"32768/8192" 1166201 862633 867063 864935 879582 652062 615245 578551 668435 643670 891258 1209681 886263 804951 925728 651879 662325 617157 601955 717967 
"32768/16384" 1028205 980790 994293 988749 996867 738467 987137 593020 777577 786183 952896 964674 883756 933848 587934 788393 655148 702707 698738 1037096 
"65536/64" 224582 219621 225417 220067 220573 128135 132252 61664 59963 119807 188201 171891 175348 53478 161518 77609 56354 105272 61043 88654 
"65536/128" 232099 228843 235333 228232 242334 140856 292172 71971 129397 71785 248869 171885 155972 70819 105457 79575 133919 146477 69126 75955 
"65536/256" 312254 290327 244339 305157 248372 456397 383911 160862 79047 166424 198900 334653 198608 208599 207820 152942 57937 76022 134289 78966 
"65536/512" 300103 309212 382069 313621 400366 441783 94031 155165 152407 278840 304078 252204 144872 269245 248863 156963 157254 200637 199412 177827 
"65536/1024" 470388 446731 476078 489125 382383 589718 798625 225122 257079 336089 479852 284269 292516 304313 289144 293539 287951 266622 305751 267536 
"65536/2048" 582857 648525 720017 688244 714414 408239 755782 469337 383032 458996 815103 457231 468687 584499 577887 469240 407668 452459 397996 382705 
"65536/4096" 727207 734141 688684 770415 711929 525511 889262 492656 582941 445202 915625 642239 750973 703583 541579 500041 520449 558423 458534 558713 
"65536/8192" 899131 777746 505483 745769 754589 643392 1376924 725926 666957 686637 687406 927392 1058346 654463 751137 609624 610113 628083 568677 625611 
"65536/16384" 910068 925272 870145 926763 878112 713651 1013360 830843 776831 811139 977420 947600 845856 1021908 931569 419524 717903 908504 842419 794156 
"131072/64" 233224 229417 246062 237810 244629 68718 123213 130189 110367 62666 187436 150199 225750 99844 187623 130196 160089 63588 138525 110203 
"131072/128" 250207 256994 260994 258497 239686 110659 360565 87072 77756 120876 245785 179717 198592 227730 162495 144935 86019 79613 164449 71667 
"131072/256" 313256 150111 269470 334282 261406 176193 357124 126112 121533 182500 330827 132253 89274 189194 198294 134444 76659 81838 82090 84531 
"131072/512" 374774 367277 436050 365783 406486 131688 177315 150574 400964 154469 365897 75835 252912 233447 217792 217965 158426 140597 131148 193586 
"131072/1024" 505080 481139 482780 466030 481367 293930 129265 333151 137832 132061 454615 379381 111163 192414 397578 262231 260833 207678 275480 301465 
"131072/2048" 661902 673549 737038 725610 713157 374407 647016 450538 330922 389891 595145 484526 342680 273824 576959 486656 377941 484472 559295 501093 
"131072/4096" 770092 735169 777588 749394 696557 535501 723096 515542 826010 523329 726145 580323 140170 494770 524120 438560 536606 497091 525155 1178737 
"131072/8192" 905724 793548 796949 808154 768110 649032 232838 735046 778461 572331 754879 1034132 662651 810006 703028 779619 603823 710807 614023 659451 
"131072/16384" 1078985 1102621 1059013 1010764 904937 701066 139325 858092 964216 785756 792402 965695 868458 888738 1127549 882575 684778 686308 760635 1022792 
"262144/64" 247630 243591 253841 248294 246554 86966 190945 116423 188400 170307 176687 162430 209125 107080 207476 139535 76969 139180 140172 199917 
"262144/128" 267027 270663 268466 270440 270776 169766 281130 131538 175152 283181 177075 148505 115330 264086 125621 131729 155493 83128 165355 285924 
"262144/256" 345081 308593 282833 349639 273338 146177 124066 145345 123636 78558 305521 217699 278921 188721 239456 179521 189836 198179 143877 348762 
"262144/512" 384111 373305 458587 384175 447891 205086 160806 231289 204684 154418 171719 209806 248055 236625 146440 185222 144816 242646 154870 164615 
"262144/1024" 523265 535268 542302 520995 545597 290705 301058 206028 339366 277234 566783 406136 417406 440817 403974 320738 317478 340580 324661 209747 
"262144/2048" 734461 716869 754169 732039 763264 394526 414118 423496 394669 354088 791846 592675 369725 522813 319469 543231 465610 388222 496687 530930 
"262144/4096" 789342 818195 891570 800258 817228 548662 463131 521860 598485 527011 494394 625810 491791 278270 254249 605859 518237 548220 228474 638629 
