Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"262144/256" 4071951 3499302 4098300 4019141 4030810 
"262144/512" 4057331 4065943 4021419 4025114 3995001 
"262144/1024" 4024628 4019376 4043321 4026780 3907349 
"262144/2048" 3874264 3868539 3855408 3865465 3852909 
"262144/4096" 3686768 3699047 3714982 3691286 3682422 
"262144/8192" 3389716 3730688 3724319 3721471 3714142 
"262144/16384" 3857613 3976464 4209175 4191413 4191157 
"524288/64" 4795635 4837719 5056506 4781641 4917394 
"524288/128" 4244523 4425005 4610345 4355055 4503105 
"524288/256" 3924193 3802027 4036773 4037736 4021727 
"524288/512" 4034506 3910119 4059029 3909181 3827671 
"524288/1024" 3899096 3857469 3906847 4044717 3825021 
"524288/2048" 3886320 3739836 3688771 3752094 3864717 
"524288/4096" 3495274 3508071 3683247 3680658 3543515 
"524288/8192" 3542772 3531887 3626562 3563336 3691260 
"524288/16384" 3978269 3960385 4115294 4110840 4002103 
