Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"262144/256" 3571445 3273682 3374538 3751334 3346529 
"262144/512" 3707892 3917037 3378364 3000008 2685319 
"262144/1024" 3345002 2815637 2932947 3339455 3246367 
"262144/2048" 3162507 2687360 3183411 3191895 3223685 
"262144/4096" 3116204 2693047 2660331 2635114 3596233 
"262144/8192" 2987934 3615080 2755234 3217676 3518146 
"262144/16384" 3470310 3358714 3812178 3591757 3411964 
"524288/64" 4169880 3588532 4024406 3925307 4153631 
"524288/128" 3979384 3585291 3957007 3949644 4256106 
"524288/256" 3646231 3618797 3473280 3506381 3504107 
"524288/512" 3509739 3581886 3420725 3259643 3212570 
"524288/1024" 3916191 3161197 3745659 3868946 3268650 
"524288/2048" 3020301 3042949 3471048 2936067 3020964 
"524288/4096" 3553001 2974632 2889786 2900994 2914687 
"524288/8192" 3329508 2877651 3321075 3193044 3575927 
"524288/16384" 3858749 3535703 3461694 3617327 3701605 
