Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"262144/256" 7656509 8063962 9188415 8984934 9298210 
"262144/512" 9465427 8769167 7685033 10885520 7494772 
"262144/1024" 9320359 7142338 9439828 9815945 7524211 
"262144/2048" 7665691 10593433 10782083 9388403 10841833 
"262144/4096" 6223434 8750394 5890204 5012594 7590911 
"262144/8192" 5347928 5778545 5186551 5299264 4782943 
"262144/16384" 5541814 5148446 5388368 6016913 6055653 
"524288/64" 9593555 11595728 7865570 10760336 7872187 
"524288/128" 11593405 9242319 10588476 8154019 9128676 
"524288/256" 6936482 8198555 8199962 7601033 8176789 
"524288/512" 11718573 8030004 10682710 10688838 9352578 
"524288/1024" 9999932 9353573 9340422 9310564 7668840 
"524288/2048" 9294901 10279373 7668840 8054681 9369474 
"524288/4096" 6748289 8564148 6791829 8841865 6156731 
"524288/8192" 5638119 5728416 5754333 5018884 6541814 
"524288/16384" 6821959 5824134 6315660 6338488 6353009 
