Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"262144/256" 2738681 2762954 2758947 2375074 2537255 
"262144/512" 2415273 2415384 2625694 2403294 2582669 
"262144/1024" 2448643 2782342 2802633 2717475 2816510 
"262144/2048" 2708518 2725788 2731747 2732942 2726518 
"262144/4096" 2643890 2634243 2628877 2598803 2637902 
"262144/8192" 2671558 2659552 2676247 2658414 2600844 
"262144/16384" 2814513 2940453 2952305 2917902 2939494 
"524288/64" 3055345 2945853 2668510 2783465 2848790 
"524288/128" 2921751 2678257 2905398 2409455 2669071 
"524288/256" 2626653 2656143 2553441 2561188 2753181 
"524288/512" 2617383 2755333 2628892 2639016 2588694 
"524288/1024" 2769935 2758714 2573483 2717236 2728266 
"524288/2048" 2488577 2471238 2658580 2533907 2588783 
"524288/4096" 2381860 2475171 2536567 2506312 2523187 
"524288/8192" 2588551 2406955 2585362 2535780 2585386 
"524288/16384" 2656801 2818903 2821301 2820454 2711319 
