Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"2048/256" 189594 318844 270150 326802 273976 72796 78185 89656 106080 318856 314790 284559 180090 246180 224933 70187 80668 100362 77912 390029 
"2048/512" 199400 369414 203298 382083 220402 160713 163996 154218 158328 461357 412327 345021 365578 135691 267884 166601 166870 174461 104468 168160 
"2048/1024" 572402 566065 573664 599905 555630 220261 397685 175344 100201 539778 149424 174048 219979 306358 204879 234807 95043 73064 332520 406743 
"2048/2048" 716137 234564 906607 906607 913453 325489 604507 387950 389657 827084 505325 316099 566364 530412 558048 334475 331878 705955 374471 142342 
"4096/4" 18347 24446 15975 23102 20688 10916 9189 9447 10000 34797 22132 21520 24063 22191 18576 10911 11598 34953 7129 30701 
"4096/8" 32806 30510 29384 28835 30299 16317 20587 15928 16655 33713 27342 37248 34228 28647 21189 18972 17517 17078 18071 28329 
"4096/16" 51053 68126 63340 60188 57841 50973 31009 33996 37433 68676 48780 49855 56943 50727 57237 45527 34384 36951 45316 50728 
"4096/32" 146815 149145 147449 143613 147084 82492 72593 67253 75645 133337 137810 123499 93902 138625 136174 71513 68887 82472 59358 113481 
"4096/64" 166117 198036 164511 185196 139996 92057 63029 77155 69947 200716 188167 151686 166680 193063 190919 149429 95067 102129 78596 216240 
"4096/128" 163696 208532 225029 160112 218743 123794 90423 69601 77060 258437 231725 235157 237488 221968 227947 85929 84743 116469 172376 280625 
"4096/256" 193445 309832 274365 325988 174349 78854 103772 95041 88514 333603 289589 286031 260475 178575 275526 78876 81939 74589 81209 364607 
"4096/512" 371586 374502 442725 320676 423318 241426 135557 152099 82146 400866 322113 236270 254170 310303 272775 158592 190158 278429 137114 389833 
"4096/1024" 514971 525124 575678 543824 535134 270827 494088 294423 312914 594216 484844 428898 407561 203872 504121 279798 405867 252590 290451 612805 
"4096/2048" 769334 703521 856731 808852 881796 167649 558262 332499 433848 743659 299062 588758 602891 96491 226989 389320 610800 416463 295741 730380 
"4096/4096" 776919 777974 363673 881253 920047 605568 898255 511948 462137 447651 657154 757262 324664 354722 654950 362606 116542 608270 421221 1250645 
"8192/4" 15556 22623 14866 13316 17296 27046 6697 9743 9772 22142 11654 17497 10759 14319 11698 8984 10966 9538 10751 34685 
"8192/8" 21566 27183 30896 22175 24680 23579 17156 17239 14680 33820 25128 11383 20032 20372 26758 15484 19096 16513 17644 24021 
"8192/16" 36701 56907 45409 47230 40894 68757 58917 32358 36759 52235 49772 55314 53576 40347 36883 35391 32498 29970 34640 48083 
"8192/32" 58232 75851 83149 103429 107705 131704 43479 79198 51355 130833 73808 78290 85228 83533 88055 73043 50937 51858 51279 96216 
"8192/64" 199396 200470 163849 198589 188664 218668 211778 85970 98773 216638 182824 198095 200352 200470 197231 126809 119696 91078 58737 200474 
"8192/128" 242108 241275 244706 241866 254434 302276 304965 81177 110426 308829 244041 218814 240953 157769 192210 92269 119502 46195 66435 300295 
"8192/256" 334737 264582 242016 263077 280682 393087 351571 75582 78517 370747 311151 283146 282745 261124 277713 73542 99886 77540 76448 367736 
"8192/512" 352893 331674 462951 328324 471295 392697 452495 137653 152867 482792 239623 299152 347651 244874 341375 164889 227922 151331 166551 507973 
"8192/1024" 537359 557581 535533 548511 600360 567828 550541 106847 299789 537603 401038 179831 375348 352224 369372 285802 250759 280481 287719 673630 
"8192/2048" 755793 770504 764181 827391 526442 705353 574752 558651 397729 741345 584102 233582 415797 524089 583686 156481 554978 398638 378241 798046 
"8192/4096" 871128 860137 729602 899332 541475 760342 798139 493796 519603 662678 622540 487180 595615 635481 617883 333713 426046 529133 708407 937847 
"8192/8192" 748271 880391 746953 902095 727008 740163 1048230 567903 554790 613262 727608 733715 797898 748124 650878 432155 932072 810929 613579 1114425 
"16384/4" 8337 10677 11168 11086 10185 34674 34829 12385 10281 13770 7874 7906 8469 9121 8957 10921 10852 10444 10315 34711 
"16384/8" 19320 16841 20568 14814 18708 22457 31968 20037 23802 30276 15171 14185 16254 15058 17253 17038 17069 18976 17059 33904 
"16384/16" 28136 30164 31499 36354 26376 70850 68499 29379 28370 67432 29477 28224 27736 33687 26507 33107 54989 68364 33174 41690 
"16384/32" 64678 53195 51568 57693 56405 82596 130155 48315 59677 52504 44467 46549 44334 51939 44138 69757 68805 67263 43799 132619 
"16384/64" 122192 121786 114404 125741 92877 206420 203515 65690 55591 76712 112059 110376 110283 122156 121636 65835 77854 81502 80701 86798 
"16384/128" 245064 239911 243577 244668 248819 327182 68249 117469 92703 86066 250488 233350 268982 252096 245148 64539 87476 93659 55425 83293 
"16384/256" 337563 333069 278990 341781 281076 357916 80025 77433 83096 103346 302925 305478 273194 278567 315331 76857 115982 92918 73933 421042 
"16384/512" 382840 387860 473869 385169 486073 426546 147325 131471 165650 147185 356701 410371 389714 343062 238195 143302 140678 154919 149057 495372 
"16384/1024" 558973 572610 559984 565472 576047 572048 274158 228648 284726 270698 478982 508393 322463 494356 296023 302533 262513 281618 276560 700441 
"16384/2048" 773521 652880 825718 633640 623652 699365 245398 414920 250854 241601 552728 632707 623369 330376 52903 243143 412487 387685 394101 628081 
"16384/4096" 628920 787085 659370 827678 813866 812855 563122 494300 491510 464858 685557 448078 360681 757884 735598 498965 546843 503812 299690 750386 
"16384/8192" 977798 775756 811972 789245 885425 1150640 677447 674488 658789 654055 721958 897463 755617 653949 717024 595650 661337 465519 328344 855477 
"16384/16384" 972237 728788 881100 592466 996168 999151 784336 654497 767757 621244 824352 906543 1004526 845187 914749 781011 411918 726691 314122 1426431 
"32768/64" 84818 86485 92526 83159 79431 203127 37974 61152 63205 57130 79960 84440 86990 89230 84305 87420 85416 81465 69541 207136 
"32768/128" 174091 161118 148569 148835 160894 243668 72139 71247 73218 79567 146744 139573 139753 162162 102357 72666 102846 69447 68878 286759 
"32768/256" 333411 333238 264145 334893 255630 413053 446916 82430 74736 99527 301797 327785 326989 328517 351678 81900 100836 67697 81204 356630 
"32768/512" 385224 388633 478713 383546 467006 123463 525003 204039 154448 123414 406854 386862 300585 351493 269877 148176 148237 340921 115881 110566 
"32768/1024" 553484 553982 558010 556379 589722 301942 645484 274160 218094 275696 549549 508062 327457 61462 522232 200872 139270 176545 267660 761089 
"32768/2048" 773651 814232 834785 812436 817827 442565 745642 393099 378168 383497 730010 740871 729359 720954 747459 373982 364599 364146 240925 708496 
"32768/4096" 854779 846784 856499 858114 857263 551178 1005649 336089 506023 506648 825638 811027 389506 702675 735680 413242 485459 536556 407668 1128289 
"32768/8192" 982079 817831 871882 875397 872529 592731 1325622 655845 605962 663495 1146692 843252 664894 405189 539594 598818 226421 592593 450548 938080 
"32768/16384" 914030 988358 996109 997533 1021191 801684 1348302 559477 795148 823274 1125157 911539 891136 855849 335177 501814 729228 509817 733129 874511 
"65536/64" 74177 68618 72256 72281 81122 82851 201386 61015 43767 59398 60267 92708 82062 77510 77669 59163 76944 47694 51229 72694 
