Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"262144/256" 3976090 4016234 3376279 3436566 3456042 
"262144/512" 4031180 3946406 4034167 3715974 4036581 
"262144/1024" 3859319 3429000 3471460 3708567 3947483 
"262144/2048" 3490326 3304607 3266068 3365778 3707629 
"262144/4096" 3440706 3601427 3643013 3366912 3642457 
"262144/8192" 3697952 3221305 3668917 3393148 3567563 
"262144/16384" 4231758 3994697 3920137 4168767 4015750 
"524288/64" 4283123 4741514 4013989 4204361 4469670 
"524288/128" 4400089 4024074 4331669 3960771 3804230 
"524288/256" 3941249 3978960 3670790 4009824 3924606 
"524288/512" 3933522 3915048 3823678 3918417 3806667 
"524288/1024" 3953365 3748308 3635814 3955064 3953720 
"524288/2048" 3695944 3774085 3758257 3500783 3618672 
"524288/4096" 3577760 3226049 3339013 3474152 3362288 
"524288/8192" 3300791 3313454 3563313 3418609 3190440 
"524288/16384" 3776419 3737122 4043029 3726306 3857327 
