Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"2048/256" 238497 206326 194158 219580 196077 125459 125023 22448 21837 613531 209276 232992 221431 197948 115981 126466 19510 18234 20905 336229 
"2048/512" 282444 279249 325181 267884 323540 114381 93023 21939 23356 142043 316238 207452 265008 194603 317020 116138 20105 19131 21931 406185 
"2048/1024" 372490 365983 427300 390845 367817 128063 102482 23921 24055 747678 346119 199321 407650 169802 394834 109325 20542 19527 21995 119667 
"2048/2048" 608791 598651 244540 470274 161693 132918 120455 24797 24772 570009 435643 469092 578532 575586 645869 140294 20647 20049 22689 26210 
"4096/4" 17387 12446 16986 16610 17705 79116 66877 24645 24905 89198 12365 17228 16679 18635 11220 32471 10261 20214 20783 74892 
"4096/8" 27987 16664 31726 16415 24735 88827 82854 27198 26506 107031 26067 22843 23392 26983 22858 11494 19350 100633 84610 137389 
"4096/16" 66193 51967 43655 62666 68097 102364 112908 27626 27704 221610 56452 52630 46425 56192 51459 101969 19803 99958 117410 201566 
"4096/32" 72035 72850 50448 63320 49030 109753 110045 27070 27596 388361 52906 51801 70524 41022 59998 104620 19824 99708 117340 315245 
"4096/64" 120247 116027 115634 123555 114445 110747 110693 108971 27481 417191 117812 120286 116821 121546 125340 116742 19670 77317 230798 350861 
"4096/128" 165242 153471 117072 161450 163682 104885 119055 100245 28011 457753 161711 174638 174180 168511 152345 116409 19566 106802 111553 399961 
"4096/256" 229401 220131 204515 186436 212108 102397 107540 151166 28450 506305 207991 210267 205818 226158 145666 112050 20590 96424 106031 511430 
"4096/512" 276013 250644 333416 211125 306516 72167 106243 111680 29933 738957 312124 189122 204401 305214 241253 104775 21542 105347 105782 623819 
"4096/1024" 439632 207434 415586 408375 431429 111716 339075 121831 31462 475385 355648 395787 365095 358857 430251 106059 21154 126909 104274 619478 
"4096/2048" 509504 487499 507757 311931 163414 110963 435796 112333 32046 706211 580915 594648 487278 529886 322089 112890 21567 99924 101895 780519 
"4096/4096" 546645 256773 487623 484912 480975 108754 469500 98565 31435 696731 488844 611605 562006 281200 560557 109741 22055 262529 110389 779598 
"8192/4" 15590 13007 16837 17996 15887 78037 72048 67570 30855 69064 15670 13358 19751 16791 16425 18078 19865 71068 74570 70157 
"8192/8" 21974 22770 41901 31588 23914 172951 91393 85317 67948 137281 22006 21508 22991 18649 24466 24246 25225 88784 82167 131995 
"8192/16" 74747 77947 90458 79107 75964 234385 97663 71532 98269 235004 75776 52299 50239 54211 48411 98166 27315 91538 17751 206827 
"8192/32" 85219 87874 85644 100782 98946 230048 105946 95923 99771 302008 59218 60639 63426 55971 63574 85635 295527 103954 94726 141724 
"8192/64" 125005 117680 102871 122144 136030 352784 221746 109797 101731 323999 89056 112259 76780 91687 96376 106483 150546 106929 122294 364556 
"8192/128" 157708 170620 158658 138981 164882 483648 412695 104016 97420 442091 158950 172155 113994 165621 171230 27937 101413 99598 96260 424410 
"8192/256" 205907 241018 200739 227366 203548 573706 557581 71490 101224 495641 185468 220719 197774 234608 251751 123667 164378 108965 108774 325038 
"8192/512" 273504 281831 328242 277083 314823 341094 695248 110174 104273 617705 331527 255273 303496 275204 351784 174927 102922 108710 100033 623398 
"8192/1024" 416174 387035 286052 406067 418644 665527 518419 103414 101318 345974 410462 282757 346253 352842 357166 103024 99186 21060 94540 605065 
"8192/2048" 497327 508033 501808 518811 445433 656788 731824 105631 124765 240557 531672 504994 501684 483077 512864 106093 20496 117958 106281 663061 
"8192/4096" 502145 528409 406312 505715 533678 668896 375952 104975 154767 28552 489951 497658 412943 440290 502483 105286 5742 105271 100636 317705 
"8192/8192" 425403 486263 402080 502028 413943 621167 575927 102884 421960 202636 502211 497932 381093 525066 415420 94287 7378 111921 24138 649132 
"16384/4" 19769 18225 17653 20830 17541 89242 76419 20865 68328 72729 19166 18361 16214 17977 18888 66183 6931 45257 33072 83028 
"16384/8" 24098 36792 20308 28103 41728 113600 150328 78023 97964 136828 19513 20184 22966 26582 24599 82097 84284 19273 88828 127737 
"16384/16" 87936 90995 93156 89573 89411 246969 203613 98509 172348 216866 63196 68308 81959 53837 65560 103944 102782 226092 95753 208408 
"16384/32" 116813 113494 109044 111641 114044 265387 295558 111557 105144 145632 92713 87004 93933 76541 86051 47356 102968 102674 118439 303390 
"16384/64" 128108 129124 135028 132461 121431 373833 318804 89367 94425 127305 96088 104393 108362 127655 111635 96863 121815 112428 104086 287186 
"16384/128" 145525 121697 139415 133966 125944 456059 109741 98756 111573 129697 139149 121292 132093 138721 128336 36438 179735 97037 19989 97827 
"16384/256" 191240 203773 198176 217516 192085 500900 107557 106440 95807 32142 152444 162525 196453 196107 155301 30803 96123 105245 93621 364258 
"16384/512" 258765 267887 332887 261821 316561 411142 106393 14953 101002 103107 273924 332373 342604 254670 249364 88024 105529 114837 98588 573810 
"16384/1024" 400989 421452 427637 312553 450496 655859 197853 16756 113352 30084 411814 414575 432704 403120 397689 43704 104481 118683 111258 680062 
"16384/2048" 491271 586695 569026 523298 586234 458690 141464 17774 35269 37331 548510 493065 470343 579721 521353 38622 114003 98536 44078 441832 
"16384/4096" 576192 594593 571886 564909 615177 701098 35471 116252 49730 42707 624888 535791 502251 636345 575584 101736 109834 93884 19629 63028 
"16384/8192" 619039 564844 544753 570315 594290 617637 118685 96145 99228 97032 545861 577873 486661 448397 522781 40286 21871 114402 7085 49727 
"16384/16384" 630154 504030 638978 579369 592098 746222 117710 119484 112835 108616 559623 532916 522964 573969 547265 58450 20052 112266 9079 687766 
"32768/64" 157864 147554 146285 152594 157181 386546 38762 116068 103689 37643 144795 153456 153522 162419 146877 55471 14117 84093 98979 413309 
"32768/128" 157310 176254 167843 152036 162423 369770 111907 109843 102468 107676 144944 168895 129886 130386 130907 111119 12847 8790 91949 357948 
"32768/256" 182963 219236 205919 223563 183955 472414 593353 118045 55303 38397 247068 228716 214098 228011 182062 109368 15932 39927 103066 581341 
"32768/512" 242488 227765 256065 199586 260049 465580 667958 100563 49632 123938 321661 288249 256599 233970 230502 377607 18260 234311 112917 402901 
"32768/1024" 322016 372338 316834 420808 358609 99535 493219 96198 108631 111131 283263 350302 326422 350624 305017 131112 96996 122126 40899 572467 
"32768/2048" 476680 434877 392925 548188 581189 187378 533186 23502 106222 33945 465724 553150 431453 593484 543353 106314 100738 121657 42654 539738 
"32768/4096" 436127 458037 593699 447516 568416 104462 476527 13995 91842 97011 575200 565471 450630 579317 346413 17308 16927 105384 12214 571648 
"32768/8192" 495163 571876 510597 611321 591789 107155 36267 14192 34247 48738 591565 419709 435253 443338 456295 16516 228755 92248 14888 356844 
"32768/16384" 498858 516437 532796 531173 632415 39060 618181 12982 99687 104365 476957 454794 455560 461573 576818 17290 104951 110732 62225 46409 
"65536/64" 175019 170150 174011 171014 164742 104372 388958 98662 104431 108531 161087 159642 167123 162719 158974 19792 106890 45662 109629 108612 
"65536/128" 192632 174310 162257 174737 179723 52476 367418 108766 107279 109428 158134 176688 168804 167672 170058 103297 100398 14180 141172 95931 
"65536/256" 195624 206671 186870 215435 186260 546470 514637 101118 114252 14770 194125 199915 179500 192989 191440 110786 409356 101151 11225 42350 
