Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"262144/256" 8628844 11888693 9455496 11062397 11894609 
"262144/512" 9221011 11097008 10914912 11229153 7825437 
"262144/1024" 9752042 9084860 8399899 8578621 11673733 
"262144/2048" 11804072 8399322 10759504 10985799 11797612 
"262144/4096" 7252150 7535660 7291684 7238352 8212554 
"262144/8192" 6609635 6586709 6092124 6577292 6368302 
"262144/16384" 6650856 6073079 6095096 6683400 6078283 
"524288/64" 11481902 11474653 8630226 10837976 11660968 
"524288/128" 11824307 12253433 8740023 11216884 8958499 
"524288/256" 12315607 9094020 9103507 12291102 11072579 
"524288/512" 11572965 11155091 11688985 9192710 12360326 
"524288/1024" 11538534 9063808 9771664 10659511 10014277 
"524288/2048" 11691658 10867864 8954960 12227678 11761696 
"524288/4096" 8692932 8099389 7719072 8948401 9307766 
"524288/8192" 6812301 6355470 6734236 6267026 6761693 
"524288/16384" 6890642 6339182 6898987 6847706 6797645 
