Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"262144/512" 2363063 2381803 2420089 2414695 2730181 
"262144/1024" 2758220 2430774 2414382 2534629 2384665 
"262144/2048" 2668809 2369260 2661741 2678816 2638776 
"262144/4096" 2234072 2571350 2576526 2317909 2429302 
"262144/8192" 2608167 2276365 2493501 2275635 2625274 
"262144/16384" 2852149 2855542 2609126 2873625 2854111 
"524288/64" 2868159 2834834 2727129 2934641 2927726 
"524288/128" 2820830 2739028 2644942 2669136 2797291 
"524288/256" 2725004 2658834 2691112 2741750 2647155 
"524288/512" 2657677 2542864 2623826 2426460 2719817 
"524288/1024" 2590112 2637848 2570292 2661686 2492788 
"524288/2048" 2615724 2437652 2614732 2586663 2478666 
"524288/4096" 2528712 2443652 2385557 2469525 2332461 
"524288/8192" 2362519 2375235 2303428 2532620 2343867 
"524288/16384" 2684292 2634653 2679984 2656749 2671123 
