Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"262144/256" 6563785 8251258 8940223 9039151 9110454 
"262144/512" 9178674 8954202 8437155 8926142 9045398 
"262144/1024" 8269006 9062919 9202566 9196100 8334697 
"262144/2048" 7936316 8940804 8934048 8974447 9055380 
"262144/4096" 7157542 7416514 7338648 7330624 7251146 
"262144/8192" 5745361 5677922 5687762 5740232 5739093 
"262144/16384" 5772447 5715317 5748515 5729911 5744640 
"524288/64" 9068817 9176139 9121708 9125191 8771469 
"524288/128" 9198516 9251418 9125683 9199825 8784118 
"524288/256" 9155623 9167302 9204985 9144277 8506471 
"524288/512" 9203175 9122806 9190443 9208531 9139678 
"524288/1024" 8410141 9165583 8570690 9169060 8423381 
"524288/2048" 9205139 9180467 9128865 8867000 8455186 
"524288/4096" 6972464 7581353 7515489 7325930 7321662 
"524288/8192" 5773914 5764258 5728729 5762612 5755719 
"524288/16384" 5778299 5740588 5758613 5755207 5640780 
