Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"1024/256" 8457895 9320560 10039528 8750850 6819511 8076196 6025439 5720477 6025439 6609617 8183918 8610501 6172653 9045736 9064828 6208343 5720477 5720477 6244448 8457895 
"1024/512" 8391792 6874084 6364746 6692005 6208343 8895850 6137371 5917516 9220512 6172653 8680108 4594502 6244448 8457895 5720477 5444898 5983467 5950309 5720477 6172653 
"1024/1024" 7941793 6479979 6163794 6787181 6059442 8750850 7369466 6431462 6441107 8000971 6172653 8122014 6441107 4762630 5917516 6016997 5089995 6244448 8610501 6280976 
"2048/4" 5689430 6359119 5785224 5750369 6243566 5535444 3946119 3786104 3630870 5593112 5531879 5225638 5319484 5225638 4094723 3709263 3736694 3555722 3677503 3955204 
"2048/8" 7616502 4971585 7237860 6696208 6780783 7293167 4356379 4741090 4666399 7636816 4775354 6851089 5172149 7726111 4293237 6321679 4686767 4730646 6629029 2147051 
"2048/16" 8531869 8221561 8128206 8643474 5953632 6189580 5389574 5306340 5517666 8464610 6990474 7999524 7705319 5754221 7817519 7726111 5293261 5475461 5238385 6132138 
"2048/32" 8866519 6563185 9389900 6851089 8059569 8190205 7425563 5804771 6003564 9024882 6007763 6037320 8531869 8253158 6543188 7999524 5475461 5416763 5032754 6563185 
"2048/64" 8643474 6780783 6670210 6608629 9752360 8498106 6629029 6041567 6378005 9441504 6243566 6483920 9431138 6132138 7135648 6075753 5953632 6321679 8292998 6440169 
"2048/128" 9179186 6851089 9990553 7207495 6603549 6382745 7036283 6261772 5332694 7903836 7336772 8866519 9483197 7036283 6623917 6321679 5489457 6340344 6608629 8608824 
"2048/256" 6498636 9664580 9898453 9101380 9708272 8221561 6563185 6092991 6114678 8531869 7846081 8221561 6207471 6003564 5836323 6321679 6185123 6378005 6080053 7106133 
"2048/512" 6171791 9567698 8987113 6873016 8903279 6020395 6266340 6202989 6167360 10673302 6401772 6303124 8565901 6225466 7969835 6266340 6440169 2345819 6280083 7874853 
"2048/1024" 6523312 9359208 6829301 6759439 9483197 6759439 6298503 6649556 6523312 9990553 6401772 6303124 6420913 9015410 9101380 9349021 6225466 6092991 5564129 5769681 
"2048/2048" 6543188 6114678 6895083 9179186 8036946 5852228 6303124 5517666 6359119 8489707 6420913 8749118 8940345 8977721 7293167 6167360 6149699 5884299 7754008 8261095 
"4096/4" 4352854 6522830 5225329 4275933 4208889 3817065 6041154 3853020 3612399 4307020 4452120 5611025 5572803 6096896 3889659 5784846 3673419 3992713 5563779 5340661 
"4096/8" 7742845 5490871 5476867 7939654 5396016 4592558 2599148 4551192 4515307 5601877 7625987 6595451 6758923 7572208 7087972 4149921 4935601 5057654 5030994 6500617 
"4096/16" 7599002 8292220 6281934 8865630 8811067 5535098 8514134 5826043 5461198 5859825 8409937 7784948 5988509 8459632 8535284 5826043 4735608 6005255 3084464 8497289 
"4096/32" 6068897 9614850 9023961 6919538 9593374 3049966 6608135 6236327 6005255 7784948 6649056 9038203 6672297 8324363 9202815 5877869 4521249 6391782 6321227 6552685 
"4096/64" 8847367 6585338 6883496 8224733 9183139 5944991 6051794 6391782 5527974 7076294 8256354 8811067 7001316 6735075 6618318 6542703 6389405 6512939 6370451 1988225 
"4096/128" 9394037 7173805 9332798 7061751 6989921 6735075 6595451 6758923 6500617 7925004 7286380 6758923 8209013 8939441 8625273 6682678 6500617 6608135 6672297 7099689 
"4096/256" 6941906 6967243 7038605 7364466 9701724 6379914 4773769 4988629 6628532 8292220 7027089 6625976 6941906 7076294 7001316 9247398 6449370 6793669 6510471 7161842 
"4096/512" 9773474 6930704 9891647 9920205 9482180 6370451 6680080 4812550 6471234 9456085 8865630 6410863 7087972 8811067 9461292 6293440 6451792 6520355 5542240 6989921 
"4096/1024" 9707206 7405736 6861502 9868918 9105266 6389405 6748303 7099689 6595451 9332798 9267351 6727163 8497289 6542703 9368423 6638778 6500617 7027089 7367624 9545402 
"4096/2048" 7447471 9868918 6975730 6828774 6758923 5751920 6672297 6330545 6449370 6905631 6391782 8660056 6850558 6638778 8962759 4338563 6420447 8276241 8569343 10036109 
"4096/4096" 8842813 7027089 8447153 8501494 8620945 5988509 5849848 5265366 5769304 5963564 7612471 7742845 6321227 7209932 5603704 6077484 5418140 5843879 6024207 7831080 
"8192/4" 4343393 4620228 4264155 5919188 4354953 4216019 3829746 3890014 4061528 4615263 4327528 5550123 5940679 4692154 4143818 4041463 4047652 3615366 3296592 3897073 
"8192/8" 7823601 7692239 8159896 6522590 6895660 7118525 4528283 4108146 3092461 6781341 5257958 5261984 5257958 5512724 7523801 4858693 4997921 5028642 5139206 5053790 
"8192/16" 9102385 8152152 9131414 6359610 7719891 7585256 5902917 5906977 5810089 7565215 7468200 6104267 7067279 7875605 8000301 5970616 5091232 3783776 6045199 5810089 
"8192/32" 6725591 9296954 9192489 9954134 6590145 8568928 6187815 6287458 5302587 8159896 6160081 7400641 8723390 6429825 6220301 5940679 6059057 6404656 6359610 8047143 
"8192/64" 10463389 9266865 8350269 9471217 7328036 6989645 6972624 5954062 6648806 7862989 8417779 9536939 9502650 8835550 8498983 6267959 7502444 4168957 8541237 8743368 
"8192/128" 7591960 6522590 7134785 7173514 7142200 7197556 6821731 6788039 8273861 9061576 6511465 6687628 7287625 7802283 6804170 6122759 6758664 5789530 6781341 8797093 
"8192/256" 6854392 7523801 7111158 9660279 10343693 8799346 9831659 5385702 6486879 7407022 6770651 7920995 7025373 8594649 6877717 6628284 9775714 6409435 6732179 8603257 
"8192/512" 7550253 7255309 10501766 7218727 9536939 8808369 10064936 6590145 6511465 6605348 9692982 7130343 6972624 8837822 9471217 5821902 6677231 4862131 6633402 8688097 
"8192/1024" 7136266 8885819 9695717 10343693 10315743 9592853 9481672 5129999 5538493 6995337 6187815 9502650 6906749 8047143 7223279 6563708 6466126 6720329 6765318 7130343 
"8192/2048" 9798016 6486879 9558162 9362822 10190307 7044097 9362822 6632122 6681127 7092077 6569983 7230880 6517641 6793408 6677231 6611703 6682426 6455193 5772993 9172856 
"8192/4096" 8419841 7891886 6239504 8376734 6177802 6585093 7854003 5271672 6257686 5780764 7772279 5843686 7387910 6135880 6748045 5830794 5007390 4220161 5025700 7130343 
"8192/8192" 5748846 5748846 6059057 6692839 5588034 5569014 6978288 5429103 5545644 5350479 6036702 5468852 5364680 6959913 5372229 5490700 4864885 6506533 5464503 6937429 
"16384/4" 4899502 4292336 6077171 5983512 5323045 5538853 4247762 4191283 3792506 5375089 4109326 6166054 5202944 5722900 4796231 4087815 4519886 4151028 4831639 4844242 
"16384/8" 7783552 5630526 4658693 7677462 6697931 5724330 7034583 3974796 5061534 4863096 7120594 7854726 5456176 6227520 5400009 5300463 5311114 4863096 5763216 5193114 
"16384/16" 9309304 9324462 8445510 6150051 6056817 7922644 5981949 4695940 5878581 7801225 8775530 5672823 7667183 5919089 6016516 5872553 5910434 5992904 5949323 5327997 
"16384/32" 6759200 9230526 9224331 9880862 9900792 6687502 9481418 4790881 6467833 6514431 8822851 9547281 8775530 8641996 6537983 5435890 6491662 4625454 6405137 8312700 
"16384/64" 7089740 9620796 8622478 7320858 9389438 9052988 6870020 6684900 8813798 6781211 9199633 9086505 9051796 6692713 9804734 5889665 7918992 6761860 6243929 6844020 
"16384/128" 10764656 9729770 7204956 9828573 9599293 5165399 6745267 6750568 6792606 6912867 6898295 10027933 6936592 7192137 6987375 5876570 7020210 5955510 6709703 6755877 
"16384/256" 9893665 10700958 8866107 10482232 10474243 9942333 6889995 6054683 6814835 6770521 10052871 10126944 10051401 8948074 7005182 6797981 7996396 5317690 6770521 6983824 
"16384/512" 9893665 8257760 10562792 7272051 9604660 10188503 6962596 5659741 6936592 7142056 6886543 9694083 8270680 8312700 8564449 6657054 7025234 6930296 6800672 9209496 
"16384/1024" 10100152 8321759 7314624 8919040 10429731 9953854 7022362 6789921 7037464 5820327 7628034 9893665 9863842 6889995 7049738 6986664 6904533 6927502 6875519 7007325 
"16384/2048" 7308401 10490232 9706407 7132419 7481865 6527426 6924710 7645006 5509102 6820923 8641996 6844020 6841294 6832452 9146979 6835170 5507336 5874561 6849477 9869509 
"16384/4096" 8299648 8885596 7617042 6435127 8376536 6194400 5897753 5651363 6320888 5671418 6747917 6094958 5968441 5971034 7327103 5843092 6088478 6109046 5437611 6412309 
"16384/8192" 6942198 7068591 6773190 5481418 6540472 6514431 5362924 5734840 5300463 4518400 5206097 6311020 5241038 6606494 5219542 5280100 5222715 5785049 4773907 5669079 
"16384/16384" 7050461 5601611 6787239 5548692 6912867 6668035 4240161 5333373 5546453 5772899 6318564 6246199 5373408 6392625 6343059 5305783 5264728 5309062 5772899 6829736 
"32768/64" 10649389 10652691 8657132 7720940 10431952 6961470 6929180 6837824 6832386 6896843 8260145 9923529 9902793 9256516 9222973 6879582 7413581 9914938 6038935 9834062 
"32768/128" 10828951 7330544 10652691 9009551 8567014 7034873 10256021 8834651 6142027 6968882 8638631 7597591 10138752 8075236 10157484 8308080 6945287 7675664 8109064 8449563 
"32768/256" 8954957 8141247 10764492 7293200 10673373 9567089 10308329 8251714 5418917 7021216 9168216 10032915 9457152 9813699 9429252 7054371 6474782 6403885 6936524 6952666 
"32768/512" 7715738 7395232 10746816 7328980 10556955 7128278 7413581 9435078 7059081 8464654 7890262 7543381 8977184 7299786 9778091 7060532 4529092 7553746 6006998 7068157 
"32768/1024" 10060823 8957876 7406789 7365508 10646090 7140499 7358410 7126430 5887346 7195453 10214859 9589786 7884830 9503581 10163493 7501796 7054371 7578320 8143176 5072333 
"32768/2048" 7888451 7365113 7316106 10638673 8291539 6728362 7150158 6360027 7052923 6994417 9399588 9173724 8664227 8875729 8696573 5257036 5340171 7298235 5643891 8208346 
"32768/4096" 8562211 8245773 8717534 8539866 8323173 4868231 6135173 5599284 5537024 6195463 7512047 7555407 7886188 7743124 7792735 5475916 6239056 6902731 4898072 7905693 
"32768/8192" 5759788 6547266 6486088 5493206 6242740 5297154 6520862 5469596 4995817 5250409 6466861 6016991 6494977 6437781 6459263 5037197 5200346 6073628 4483292 5885077 
"32768/16384" 6879582 6696889 6852484 5467855 5434129 5070835 6313573 5100190 5460469 5237803 6492522 5260658 6448050 6006998 5948243 5387691 6354146 5252215 5367491 4679122 
"65536/64" 10668735 8767530 10636946 7172510 9144063 5217799 8410731 9298413 6937891 6971853 6995807 9240585 9455462 9713410 6990470 5395284 6966729 7925480 8505726 8333723 
"65536/128" 10879012 10079566 10034675 10166804 10142046 7140463 7184508 7134347 6230825 8752176 9235618 9956528 9009789 9815032 8970096 7119565 8269540 7124178 9243382 7935089 
"65536/256" 7399373 10312508 9577358 10345109 10291658 7211273 9776980 6618491 7139907 6754950 9637465 10425545 9455462 10402661 9062066 5853596 7165592 7155333 5654550 7152168 
"65536/512" 10906206 10933536 9354104 9230655 10546750 7320744 7259839 7806413 7205035 5544486 9277387 7171762 8000915 10384583 10415669 9049536 9142846 7249691 5649669 5943716 
"65536/1024" 9810829 8859654 7443858 7384267 10532606 5878759 7587065 7171013 7214490 8832325 10422383 10343163 9487117 9695936 10341607 8972732 6115082 8875387 7160925 7044573 
"65536/2048" 10943112 10911834 9454161 10028451 10146538 7202581 7159247 5243679 6174561 7093292 10003997 10220863 8561092 10349784 7071213 8450811 9024579 9270816 7106496 7118827 
"65536/4096" 8478180 9191456 7860885 8419491 8461737 6901485 5208308 5146581 6127760 6235631 6135146 7977463 7719163 8109974 7831769 5420285 6329537 6273773 5978491 6297922 
"65536/8192" 6881787 6895771 6884717 6090153 6291291 5271939 6094609 5104813 5288167 4632112 5250791 6447870 6546456 6524856 6040767 5584133 6130630 4496773 4877630 6308908 
"65536/16384" 6920424 6884717 6958616 6925655 6857237 5325975 6585825 5792414 4492437 4633205 6317898 6108831 6092853 6313110 5276189 4498613 5251292 4614615 5300608 4565713 
"131072/64" 8840677 7725976 10133036 9857412 10166015 6622143 8316804 6238589 7281359 7423634 10741864 9701720 7394279 9315083 10910926 5962398 7275289 6186150 6747555 7314686 
"131072/128" 11578973 11582876 10012343 9174247 10041604 7894502 6606466 6647607 6347940 7548085 11195104 11182579 11122849 11047080 8075878 7320823 7349990 7448578 9772775 7565016 
"131072/256" 10398294 10112719 7932319 9592533 9707030 8353325 7992169 6843819 7698819 9177463 7390601 8129980 7503989 11247094 9460963 7900742 9398530 7050971 7956773 6944885 
"131072/512" 11660262 8027881 10011614 9849817 9404479 6340253 7517739 6742755 7555866 7538976 7613312 7418225 7452314 7559814 11103978 8685913 9188968 5793257 7417724 9673893 
"131072/1024" 11729173 7895976 7832193 8169971 9577826 7465470 6071777 7430758 7421930 7583382 10080085 11275930 7524633 11334282 11090761 6375103 9369058 9556017 6418196 6429831 
"131072/2048" 9905723 10104169 11453292 9928980 9412691 6406827 7034370 7448982 7379291 7966458 9788784 9361560 9728502 9235743 11099270 8725894 8233599 6630129 9132640 7586521 
"131072/4096" 9088855 9686848 8377894 9106771 9177463 7020447 7839229 6867071 6684627 6638536 7777787 8713170 8432380 8235202 6639257 5259321 7185617 6013793 7773717 6991964 
"131072/8192" 7010331 6728232 6203392 6738623 6540522 5613831 5499108 5125411 5878747 5616240 6666227 6654043 6332001 6506077 6409068 5290091 6456488 5819504 4691157 6391854 
"131072/16384" 7076566 7018654 6033263 6101766 6663884 5745246 5601362 4371127 5728186 5711463 5749753 5681772 6659847 6511549 6658799 5899312 5687415 4883861 5600392 5938118 
"262144/64" 9352546 11275908 11770585 9034472 10934016 7791886 11438851 7939411 8131531 8385421 9338883 8416295 8159350 10527000 7858268 7454477 6310480 10810494 7520094 7856134 
"262144/128" 10941850 9529415 10844935 9146681 9233633 7381016 8256215 8594916 10941415 8413912 8432044 8706189 10757293 11067519 11117654 9428657 9966313 8536063 9222945 9925199 
"262144/256" 8566523 11326086 10951005 10731360 11605470 6668969 8629115 8535864 8527523 7468300 8628844 11888693 9455496 11062397 11894609 7656509 8063962 9188415 8984934 9298210 
