Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"262144/256" 2598238 2431107 2716917 2378197 2375181 
"262144/512" 2385364 2661226 2700900 2688464 2692572 
"262144/1024" 2713705 2717052 2385684 2720857 2365579 
"262144/2048" 2570467 2708798 2709693 2699925 2500351 
"262144/4096" 2616179 2348918 2617773 2623827 2621518 
"262144/8192" 2654486 2650864 2583209 2665690 2630990 
"262144/16384" 2908508 2834787 2918707 2903937 2470169 
"524288/64" 2797576 2926954 2854792 2875364 2884109 
"524288/128" 2811392 2470549 2665948 2915139 2837578 
"524288/256" 2739598 2563643 2549604 2762728 2686864 
"524288/512" 2560911 2750144 2763439 2458539 2627378 
"524288/1024" 2629197 2624365 2605481 2752688 2510908 
"524288/2048" 2651988 2619110 2536614 2545953 2553791 
"524288/4096" 2574013 2535780 2448697 2541471 2439957 
"524288/8192" 2603655 2535070 2596847 2593947 2591547 
"524288/16384" 2817133 2822470 2746270 2813126 2823032 
