Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"262144/256" 11620434 11661723 12269718 12021670 12011163 
"262144/512" 12089745 12209767 12417994 12056470 11804579 
"262144/1024" 12089346 12061496 11741173 12490219 11916137 
"262144/2048" 12104918 11894481 12461624 11819553 11774366 
"262144/4096" 9178674 9472603 8772316 9013660 8880578 
"262144/8192" 6853067 6834494 6785483 6824186 6710443 
"262144/16384" 6784980 6796724 6848414 6891985 6655606 
"524288/64" 11996866 12151192 12356784 12345199 12260880 
"524288/128" 12358242 12524209 12262315 12536775 12318781 
"524288/256" 11795259 12576784 12552662 12439827 12421768 
"524288/512" 12647164 12102374 12408310 12405090 11918902 
"524288/1024" 11900776 12540708 12623134 11998306 12663405 
"524288/2048" 12603383 12449264 12045363 12330385 12546360 
"524288/4096" 9450043 9750952 9368476 9247683 9443874 
"524288/8192" 6914084 6921200 6904250 6820457 6846278 
"524288/16384" 6966831 6935389 6939350 6855242 6797539 
