Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"262144/256" 8471283 5934490 8490450 8892933 8870262 
"262144/512" 8894371 6052452 9051951 7071414 8802373 
"262144/1024" 9152086 8958214 7990996 9120580 8341399 
"262144/2048" 8564254 7435221 8422033 8989856 8917383 
"262144/4096" 7286658 7619369 7559128 6926982 7061695 
"262144/8192" 5714544 5600643 5803372 5466459 5745241 
"262144/16384" 5856540 5131123 5726181 5771932 5746982 
"524288/64" 8936692 7702741 8675681 8982798 9070912 
"524288/128" 9200287 7609951 9181272 8884734 9082826 
"524288/256" 7548070 8492673 8803283 9061941 8704183 
"524288/512" 8680852 8878707 9077165 9178054 7485761 
"524288/1024" 9277764 9222434 9225878 9054590 9113429 
"524288/2048" 9096691 8710976 8877345 8924976 9041002 
"524288/4096" 6980099 7722813 7404472 7414733 6829608 
"524288/8192" 5753942 5664128 5723406 5764953 5793553 
"524288/16384" 5852095 5831068 5333282 5782250 5808888 
