Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"1024/256" 4594502 4972145 4972145 5169641 3461434 3955557 3495237 3461434 3447541 4356809 3631168 4876180 3450311 3436508 3506651 3057339 2985091 3304314 3369115 4018473 
"1024/512" 4854136 7066349 6235382 6519323 5169641 4654248 5245404 4433259 4493556 4470172 6208343 4629166 4762630 4674510 6830356 6093831 3835457 4654248 4304412 3984917 
"1024/1024" 3984917 5219904 5144870 3544270 3655895 4317393 3379719 3390391 3210456 4654248 4832290 3074849 5251818 3335105 3170172 3304314 3181915 3390391 3220084 2892612 
"2048/4" 1860176 1965297 1848169 2673655 2479196 1912356 2848305 1780738 1848169 1763917 2635106 1921339 2516234 1982991 2868277 2813783 1848567 1621413 1726687 1820362 
"2048/8" 3513544 3709263 2976615 2809182 3271351 3127245 2345819 2273187 2392868 3384788 3194702 3573472 2349026 3542524 2611870 3523633 2275596 2288326 2316716 2432165 
"2048/16" 3624742 2839830 2824887 2691246 4122233 3346546 2683678 2653011 3937075 2775597 3946119 3801182 3644736 3542524 2596083 2793651 2741055 2537792 2255282 4056054 
"2048/32" 3969827 4521480 3048448 4023754 4207028 2395538 3555722 2920945 4196751 2223755 4265523 2897301 3084572 4282535 4071433 2816551 2925920 2984890 2752473 4162181 
"2048/64" 3806235 3219850 3436240 4762117 3065856 3011047 3155969 3051697 3180508 3277593 4385291 4240255 4540600 4521480 3459769 3102397 3024831 3065856 2934917 4276140 
"2048/128" 2998435 4562305 4550221 4040790 3841986 3002627 3261415 2980747 2990085 4321315 4213218 3500658 4031308 4006862 4038890 3051697 2998435 3038742 2941954 3136379 
"2048/256" 3097921 3108009 4338776 3225896 4385291 3012103 3121562 3122697 3112514 4414590 4120256 4259178 3969827 3155969 4295384 3012103 3093459 3108009 4162181 4500161 
"2048/512" 3413030 4490751 4717655 4829046 4079167 3500658 3561619 3638560 3150182 3757946 3885431 4385291 3536690 4451191 4697018 3530875 3764533 3224685 3644736 1492654 
"2048/1024" 4196751 4581773 5212953 6041567 6167360 4423683 5689430 4853603 4807425 5095447 4444282 5719737 5549749 4686767 4686767 4330028 4818211 5238385 4697018 4772701 
"2048/2048" 3396834 4730646 3644736 4785996 4829046 3938881 2540795 3430751 3542524 4686767 3598924 4621211 5080379 5044577 5056455 3657149 3180508 3500658 5044577 3777778 
"4096/4" 2021920 2994153 2058256 2685695 2701744 2183288 2381196 1837457 1863365 1922157 2892815 2585847 2400829 2241981 2876348 1859131 1441771 1507031 1559140 1966378 
"4096/8" 2528382 3141429 3182750 3127134 3599532 3005151 2210253 2060478 2386820 2370354 3605576 2469150 2410937 3670280 2564999 1857522 2525409 2453984 2362206 2476625 
"4096/16" 2834585 2644356 2822940 2706852 3954116 2003762 1893765 1991221 3136841 3757786 2720138 3468014 2564616 4034911 3973321 2227447 2618960 2314159 2730948 3751222 
"4096/32" 4039655 4423462 3063563 4348447 4371684 2908979 2087771 1935584 3000952 2959594 3976080 4188367 3018351 3016231 3202328 3845258 2285527 2964189 2964189 2728780 
"4096/64" 3260676 4262142 4149921 3860813 4413235 2780901 3938705 3314142 2959594 3192806 4481152 4329816 4108241 3357537 4007615 3070133 3086681 2932315 3977000 3210107 
"4096/128" 4167033 2998333 3713116 3996428 4088687 2938334 2987904 3036489 2743596 3859945 3025260 4162994 4047268 3864287 3927001 2022873 2860067 4144915 2650884 2773270 
"4096/256" 3817065 2758132 3133979 2934319 3977000 3027393 3279348 2981164 2330167 3709909 3915366 3602551 3308398 3589754 3696339 2955520 2741845 2908979 2959594 3057021 
"4096/512" 3984379 4031124 4007615 4196552 4149921 2637454 2217671 2603876 3172172 3088901 3838385 4079948 3192806 3269363 4112175 2640698 3080040 3107900 2946902 3945943 
"4096/1024" 4501111 3504089 4456740 4008550 3098371 3398719 4125010 3360164 3091124 4352854 3295072 3810292 3468014 4551192 3379997 4334185 3546038 3368069 4516494 4587653 
"4096/2048" 5926533 4946971 5223741 5649775 6013663 4244242 5910222 4456740 4491697 5549401 5634950 5875858 4530788 4432592 4649735 4362802 4511750 3820460 4389555 5679660 
"4096/4096" 5013377 4982841 4900405 4691638 4899008 4253700 2430721 3235498 3245277 4357270 4184286 4342950 4654774 4196552 4087714 3814522 3045641 3605576 3276846 4188367 
"8192/4" 3020687 1933493 1906035 2471958 2393271 1868209 1591258 1815976 1506754 1864357 2410735 1873403 1878011 2237718 2412935 1366474 1624128 1719895 1556231 2195537 
"8192/8" 3212449 3027341 2747063 2832670 3153193 2344605 1916668 2320066 2269196 2998544 2392438 2919312 2383476 2419392 2382815 1855998 1933384 2586783 1696793 1933928 
"8192/16" 3730372 2859307 3718664 2887662 4051471 2699156 1989814 2091432 2233936 3325949 3853368 3417925 2643299 3631030 2676241 1991314 2048050 2693866 1946307 2379350 
"8192/32" 4430767 3172701 3147128 3120830 4081792 2723546 2928768 2192735 1974946 3747460 2828705 3402019 2946853 3884297 2955217 2932017 3196015 2952170 2769426 2995407 
"8192/64" 4506310 4511043 4135340 3730372 3469697 3447763 3323375 3376611 3048831 3838731 4336814 3900612 3622990 3048831 3681608 4316113 2814110 2958525 2817109 4139325 
"8192/128" 3423373 3021750 3317920 3386261 3032953 2929767 3860295 2962862 2886692 2791022 4061528 4071635 2910163 2870294 3025209 2613145 2908193 2914112 3319523 3770075 
"8192/256" 2993059 3711835 3884297 3178865 3844314 2829870 2875579 2158165 2809278 2904996 2802404 2794882 3487658 3764705 3367015 3027341 2864312 2619719 2838520 3474258 
"8192/512" 3560297 3414868 3212449 2998544 3022813 2802404 3762644 2870534 2828705 3198692 3357474 3743785 2895693 2886449 2895693 3098317 2822895 3093575 3130498 2928768 
"8192/1024" 3992623 3946308 3121964 3865941 3372633 3357146 3581823 2995146 2946600 3705430 3088847 2669379 3636025 3700243 3029476 2948876 2927769 3531027 2984480 3060236 
"8192/2048" 4401818 4423351 4190311 3828039 4339005 4021596 4203126 3144824 2933018 3329817 3757706 3865941 3764705 3150591 3255981 2768534 2546522 3175046 3199884 4476368 
"8192/4096" 4322629 5716328 5129999 5431677 5558204 4233681 4205183 3443616 4166429 4154339 5382328 5468852 4357715 5475825 5374750 3504019 4027724 4383287 4156350 5393311 
"8192/8192" 4586921 4323172 4001923 3862465 4496285 4128880 4530672 3276785 3284616 4336814 3869424 3833591 3301660 4320454 3900612 3481298 3126794 3141086 3252283 3418945 
"16384/4" 2235520 2054405 2875916 2248982 1994134 1888011 1885835 2082357 1656457 2008061 1875439 2430843 1898233 2681965 2741672 2043652 1551832 1529213 1562026 2056003 
"16384/8" 2531495 2510960 2514819 2785457 3507562 2117911 3201197 2775108 2224593 2168367 2388016 3139767 2844372 2620100 2626910 1667430 2356731 1827752 2140606 3190644 
"16384/16" 3293875 3454315 3299885 2780273 2949358 2715239 2300171 2423984 2355035 2746273 3663513 2717924 3358755 2700514 3807636 2420483 2273010 3524110 2485441 2284116 
"16384/32" 3108380 4072553 3094941 3110068 3388733 3714203 3946944 2348676 3337548 2661502 3272853 3906334 3001269 2967571 2967058 2770298 2475235 2998519 2216699 3981474 
"16384/64" 3256568 3224479 3213171 4018728 3935641 3731143 3757872 3108943 3061846 3449979 4120661 3111899 3640033 3534078 3413308 3498633 3390740 3108943 3557128 3039097 
"16384/128" 4119673 2853821 3739875 3409921 3619327 4381835 2927246 2701364 2926249 3047723 2909154 3307986 2948852 2897745 3041922 2944682 2578127 3326079 2884487 2879894 
"16384/256" 3265078 3317248 3697616 3284115 3433432 3562661 2838966 2146490 2814087 2656666 3714203 3164054 3584402 2783539 2783539 3321256 2837091 3248256 3196283 2856906 
"16384/512" 3217082 3642541 3474224 3027982 3036948 3515817 2506381 2810749 2509035 2889096 3282703 3036814 2829731 3169161 3421806 2873391 2782637 3098988 3191236 2361104 
"16384/1024" 3808480 2943042 3213922 3380232 3572477 3621616 3177660 2825426 2880014 2846374 2898356 2846846 3239222 2849916 3044213 2894206 3444273 2875315 3294506 2872791 
"16384/2048" 3549412 3908556 3397109 3006126 3886231 3268339 2496003 2904972 2858332 3312611 3554001 3396942 3607926 3083138 2858927 2905955 3103047 3400640 3175751 3635988 
"16384/4096" 3657079 3186353 3229631 4164865 3683543 3822674 3149552 3135755 3140484 3138763 3474926 3580294 3515277 3251945 3563400 3126055 3130898 3108943 2900803 3309898 
"16384/8192" 4314976 4260931 5188409 4325296 5408935 4327475 4171185 4627011 4139526 3845133 4126848 4453395 4341144 5307422 4144769 4729877 3741503 4738030 4345811 5196256 
