Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"2048/256" 112422 225151 198158 231492 195044 98333 115368 22688 22570 600576 217275 248631 235187 199571 233340 106711 19392 18486 21283 448940 
"2048/512" 278218 288206 314007 276685 322932 343916 118292 23454 23373 658949 303629 347112 231230 296462 320594 175116 19977 18932 21732 410671 
"2048/1024" 386050 417964 406262 435842 378698 114811 130338 23986 24089 675904 362401 396053 337074 349969 374749 93421 20539 19458 22253 109865 
"2048/2048" 479407 584277 517191 234244 609007 45031 125008 24515 24870 738042 521240 558774 573357 547450 585991 103901 5058 19992 22587 31455 
"4096/4" 20463 18171 16700 16444 16037 80469 82839 24736 24941 91121 16476 16399 12585 17177 16578 42921 20426 20301 22957 82928 
"4096/8" 21484 33242 32665 21650 25995 91758 84146 7721 26626 150113 21229 22163 29013 26318 23550 92939 19503 85490 87580 124565 
"4096/16" 40313 55358 50135 43995 48977 85790 109084 27259 27635 213789 26459 43048 34250 26468 35211 110068 20063 90714 133759 208067 
"4096/32" 83154 84861 80707 75335 80367 111973 113444 26933 27053 289141 74374 74792 83807 68206 62279 107135 19040 119532 108609 339692 
"4096/64" 94456 122863 120374 126360 124430 117555 118388 107537 27901 314760 125748 121290 114470 124185 133017 108690 19459 109982 119111 322900 
"4096/128" 164221 163342 161885 164181 160550 102868 110882 122057 28019 478670 174173 176787 167095 132839 159055 93224 19549 150500 117847 363181 
"4096/256" 237242 222875 201179 231988 199009 126310 69101 106227 23239 555698 218129 220807 226522 227418 236094 118166 20204 111696 199076 613264 
"4096/512" 284581 276586 353343 269459 339015 111099 95491 114352 29870 594319 288331 302240 262697 317470 352286 110918 16625 106495 101959 599441 
"4096/1024" 422402 413068 393656 420016 397288 111138 381124 70775 31485 514755 353933 385788 415416 348060 448621 104181 20955 103745 102551 256995 
"4096/2048" 468974 557357 532019 517110 603950 97915 456998 106149 32067 832003 552624 473198 476057 510913 417871 23053 21418 102538 87883 802842 
"4096/4096" 465304 578041 325753 587088 598043 105949 460897 109372 31442 813679 601371 549794 520920 506305 485364 108010 21890 455472 110273 630157 
"8192/4" 14321 18970 18091 18318 15511 70352 61135 58447 30476 76834 12163 18465 14967 16994 17285 31899 21545 69307 27991 76161 
"8192/8" 19383 23546 26469 22910 20482 121906 102060 18745 80988 116715 21718 25345 22821 25301 19850 88223 13901 87375 70048 91085 
"8192/16" 60081 45013 55578 66510 63567 197779 105210 96388 103171 236229 41924 51712 58489 51507 47808 95690 27223 106486 110869 226806 
"8192/32" 60934 39219 66350 82101 82184 317628 99315 103973 98046 304354 61205 63726 64226 50499 64495 101414 279220 76262 99869 324525 
"8192/64" 119135 116266 121865 121118 118760 354173 32544 108235 113986 221907 121472 106766 122733 125233 120633 107076 82089 167384 104536 386799 
"8192/128" 163728 165394 163981 164171 157175 407039 280481 101941 74695 426110 151437 162884 160225 177666 174057 106514 127266 100577 108356 437587 
"8192/256" 230040 224020 201952 223227 214488 457088 573467 148397 111658 480778 195415 216771 218733 227884 206409 102483 128391 108229 23307 537746 
"8192/512" 278591 277383 314678 287075 304332 606411 518678 108059 106197 571987 312447 250740 297415 266751 359690 109085 125353 103785 105564 589737 
"8192/1024" 396343 396535 392432 175699 433070 691303 512473 105111 104295 292717 407909 370743 374849 441427 339141 104631 165434 103212 98254 618027 
"8192/2048" 651965 627313 380103 578857 541722 683928 728040 107522 99716 424148 508123 595790 482419 420967 473034 19227 106694 95544 101417 746629 
"8192/4096" 410320 566648 488753 573677 529060 506304 752516 20834 71166 112865 520122 520493 482792 608656 595089 100269 6283 99841 110047 785279 
"8192/8192" 580050 545914 489135 598353 547523 369492 567584 118191 375936 107215 592421 541799 466566 360467 580903 99740 7264 105665 102399 630005 
"16384/4" 16302 17134 18278 18157 15969 77999 71885 62906 65484 68593 15967 18433 17262 16989 17006 57412 7860 27527 34359 86248 
"16384/8" 24723 25371 24134 28682 21426 114403 118963 79924 117114 119792 19327 21330 23692 24440 38823 32617 72816 37986 96215 102816 
"16384/16" 87946 90228 91809 89760 88496 165927 197359 101127 192540 195128 82323 80833 74587 55935 70393 107278 100275 169085 86870 199267 
"16384/32" 97927 107469 82366 97433 103038 261963 310033 108043 120092 208216 66610 87542 96759 92142 87910 34260 93774 102219 108622 295403 
"16384/64" 122144 87394 111855 107484 109167 290233 392570 112611 121052 113837 99791 101487 99585 112502 109925 103962 108589 127702 97416 415678 
"16384/128" 162541 163439 166792 160598 165543 428551 114080 96441 114005 100737 159151 170472 146267 164919 171060 36972 90539 84945 41458 375609 
"16384/256" 232872 221369 205846 228498 204938 427700 108726 33973 113192 86869 214982 203849 212509 198629 245130 39955 106880 98751 87606 362542 
"16384/512" 290547 281192 317144 278275 329081 469065 176371 13581 124869 49617 278118 368023 315521 287791 251435 97224 136255 87865 18836 625246 
"16384/1024" 427780 400722 406915 440891 423009 624014 89774 16427 100682 37576 422541 444686 429507 454164 383871 36538 111884 130872 42238 467779 
"16384/2048" 563372 474294 567274 497420 558836 726438 94617 18126 32586 70813 544481 464676 531169 706577 534217 38769 109151 105834 92827 438357 
"16384/4096" 534009 652806 530981 630033 532709 696360 34540 382240 36503 34934 559164 571406 482449 601731 516843 87539 115681 98928 41701 25856 
"16384/8192" 568851 552634 585036 567175 622589 465772 114477 106586 249691 35842 539692 537446 487431 525246 530534 40780 73292 109702 15039 28438 
