Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"262144/256" 4108514 4065567 4083748 3975731 4147460 
"262144/512" 4034286 4046937 4040245 4043499 4054324 
"262144/1024" 4048054 4026352 4062488 4065191 4068802 
"262144/2048" 3893940 3904795 3918503 3873513 3895844 
"262144/4096" 3707266 3695243 3688017 3719255 3687695 
"262144/8192" 3757141 3739736 3737117 3717934 3738134 
"262144/16384" 4265627 4201358 4206357 4243665 4168830 
"524288/64" 4687371 4948633 4399244 4463582 4456183 
"524288/128" 4523940 4160822 4087055 4386021 4072296 
"524288/256" 3958767 3854265 4060191 4038856 3677844 
"524288/512" 3993418 3967939 4012575 3778872 3812613 
"524288/1024" 3997353 3820396 3831532 3946171 3861900 
"524288/2048" 3759574 3749682 3656635 3778294 3568407 
"524288/4096" 3477102 3619548 3622350 3626382 3618249 
"524288/8192" 3632942 3462479 3588854 3456036 3416867 
"524288/16384" 4095169 4095100 4056760 4082510 4083784 
