Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"262144/256" 3415292 3377440 3388223 3945868 3729739 
"262144/512" 3650209 3337164 3332663 3863306 3868144 
"262144/1024" 3763790 3329111 3479667 3878843 3904962 
"262144/2048" 3728829 3302641 3626826 3710557 3635989 
"262144/4096" 3118865 3079124 3051767 3176422 3364573 
"262144/8192" 3666813 3156461 3097165 3505729 3097383 
"262144/16384" 3437318 3420508 4052441 4019067 3745826 
"524288/64" 4925114 4817002 4557600 4319714 4195986 
"524288/128" 3819474 3597473 3959786 4383162 4096542 
"524288/256" 3898743 3683272 3915550 3457911 3836272 
"524288/512" 3745371 3531365 3537757 3642480 3691439 
"524288/1024" 3661561 3881744 3437957 3856448 3739283 
"524288/2048" 3649153 3604171 3243393 3420481 3480613 
"524288/4096" 3548363 3289110 3537011 3493641 3228275 
"524288/8192" 3457448 3307369 3281703 3528634 3506728 
"524288/16384" 3966622 3593745 3631880 3801888 3963562 
