Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"2048/256" 232677 246456 203053 236540 213330 113575 100455 21186 22696 451892 259179 248000 228414 211092 251036 110564 18595 18296 20959 410337 
"2048/512" 274011 272524 352135 273801 355193 124946 147687 23657 23674 747939 356550 316448 307136 298844 269506 119976 19966 19210 22226 124308 
"2048/1024" 409848 379752 365781 414156 417112 246420 176719 24204 24218 774020 362998 440626 408775 378131 349542 113613 20607 18094 22408 122598 
"2048/2048" 626097 632691 500497 556494 579664 105165 126605 24933 24928 632691 641384 562764 653684 486246 599152 119844 20710 20044 22874 361334 
"4096/4" 12485 17649 15018 21888 16417 71052 66930 12184 25384 70596 19270 17346 19553 17386 18393 74004 19501 19699 19332 51564 
"4096/8" 25715 25722 24437 28841 26439 80433 84054 27318 27189 146327 31119 27206 26356 24681 25758 89140 19382 83656 80021 142653 
"4096/16" 56854 62112 47505 58027 42500 99193 113661 28182 28037 211273 50440 50428 46372 29162 45294 102083 19987 145094 92581 226420 
"4096/32" 86233 85733 87637 79232 88230 95970 66022 28083 28305 307184 59961 53430 57593 80134 73133 105244 19797 100404 114808 275619 
"4096/64" 129214 125933 129060 126131 133094 108898 104115 113314 28278 385468 133207 129599 118199 123066 125298 103827 19132 104396 107911 378880 
"4096/128" 166286 165650 169684 173147 172579 105063 121072 107211 28908 571522 182433 167176 177941 180662 165910 107673 18877 103861 113271 427191 
"4096/256" 232001 242178 207825 249621 212614 107029 106340 96207 28980 238001 226698 215749 204974 220773 236325 20877 20743 107647 111604 667210 
"4096/512" 272144 288752 320473 296210 311529 110813 173662 112065 30168 711358 309197 295721 264599 296379 252902 112004 21411 109185 178974 643927 
"4096/1024" 472054 461988 405340 404510 447802 107835 228340 120836 31635 483642 434726 435244 358296 413605 377614 103246 20725 111781 111952 640208 
"4096/2048" 615483 579856 664089 607345 576238 111425 455774 112720 31263 683699 551949 468220 556833 586047 548758 113083 21518 66358 100266 706327 
"4096/4096" 575524 515729 529820 571732 514894 110586 437327 104338 31830 463084 516721 439767 455206 535368 469026 111131 22193 110561 97146 836784 
"8192/4" 17208 19876 17628 18475 17943 78145 79735 66823 32586 69484 17918 19117 17281 20343 17342 69823 22366 76702 73581 69915 
"8192/8" 22331 25458 26121 28740 21337 123522 79513 92592 80788 144783 23455 27282 22810 23384 24815 52496 18773 84240 27379 131412 
"8192/16" 67351 62942 64801 73380 68586 210526 181295 108256 96996 203159 66157 55339 56071 53517 64317 102596 27485 102648 100004 158737 
"8192/32" 77436 80858 86898 76159 82118 350113 105227 107748 99016 286503 57637 59937 66738 67424 47716 95337 117090 109149 93171 184700 
"8192/64" 112052 120039 120656 89640 116335 351316 326607 109285 116076 353666 121239 128808 118169 103144 120064 106243 139638 76487 93414 394985 
"8192/128" 144283 159049 110806 157775 155433 410565 412819 103383 107222 287358 173706 167508 170085 152824 152642 101502 81897 104377 129881 440860 
"8192/256" 233470 243389 208862 229828 203999 540019 341162 127139 45790 583557 216232 226372 253544 240911 229590 109737 126765 111394 21532 578292 
