Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"1024/256" 1892218 2281152 2270300 2019445 2976816 2240689 3142339 2192645 2146618 2165014 2398343 2150918 2173780 2852271 2216407 2174880 2174880 3345496 2226749 2174880 
"1024/512" 3355952 3671521 3229770 3506651 3483896 3411938 2275110 2295784 2300703 2098375 3324778 2174880 2306882 2290886 2737730 2188177 2265510 2169388 3506651 2279941 
"1024/1024" 2805690 2008114 1848247 3074849 2751762 2528227 1924436 1981251 1906496 2753527 2279941 2510493 2767722 1865912 2604895 2934110 1861867 1917562 1793451 1939207 
"2048/4" 1250207 1272808 1280015 1263447 1272054 1631886 1239563 1254040 1254956 1926510 1254773 1223496 1253491 1227167 1257344 1674514 1244231 1253308 1211247 1265681 
"2048/8" 1524983 1536439 2122121 1523901 1562145 1533970 1550304 1515833 1509175 1509175 2238241 2332443 1509175 1449336 2293214 1470172 1511565 1526066 1508115 1494992 
"2048/16" 2343259 2582036 1709505 2332443 2260624 2525852 1702728 2596083 1674514 1726687 2455806 2255282 1703741 2500850 1655793 1627866 1680082 1687011 1659632 1650385 
"2048/32" 2364545 2741930 2199836 2190300 2741930 2782790 2681165 1831618 1817281 2398213 2100841 2183619 2250555 1797882 2303669 1771556 1737163 2285282 1659632 2716781 
"2048/64" 1875201 2522144 1853353 2868277 2111168 1750616 1810768 1860176 1787035 2753355 2642401 2794560 1841434 2519185 1815744 2572756 1828499 2585145 1814210 1790388 
"2048/128" 2398213 1971160 1930406 2060526 2311728 1788524 1834748 1911931 1880538 2449504 2491420 2126323 2727131 1767183 1820362 1820362 2730599 1883837 1754908 1856959 
"2048/256" 2563543 2623036 2270183 1944829 2109095 1859773 1952344 1926510 1982533 2821176 1890887 1838281 1894641 2104960 2622235 1871932 1923059 1887563 1972971 2848305 
"2048/512" 2155672 3169944 2909075 3130664 3199462 2137966 2392202 2370418 2204352 2293826 2218586 2293826 2298737 2223755 2211731 2537792 3126106 2233585 2209455 2275596 
"2048/1024" 2365196 3567536 3612546 2453001 2473485 2994254 2392202 2398213 2888532 2491420 2283460 2455104 3136379 3542524 2390205 2550602 2817475 2398213 2400894 2384234 
"2048/2048" 1992189 2074960 1921339 1994039 2832339 1933883 2635914 1968901 1986201 2608697 2642401 2673655 3136379 2216868 2666186 2566606 1982533 1928240 1958129 2592948 
"4096/4" 1294073 1353618 1280378 1283151 1233671 1235623 1525498 1246561 1268092 1168952 1254114 1246109 1267344 1244214 1284494 1253748 1264173 1562828 1222696 1261110 
"4096/8" 1546230 1535863 1562686 1574862 1653054 1515406 1529573 1513137 1515406 1599942 1532985 1526176 1519965 1517548 1516476 1499272 1523874 1521041 1501499 1515941 
"4096/16" 1878853 2392470 2030764 1707434 1577755 1661527 1680050 1613162 1677425 1677917 1682848 1692463 1680214 1654964 2556602 2240811 1700336 1693965 2539595 1681365 
"4096/32" 1820324 1884004 1796530 1824577 2541097 1748087 1769331 1764788 2199781 1773899 2618960 2369047 1758825 1739944 1971116 1780148 1752724 1809206 1777753 1788488 
"4096/64" 1820324 1832557 2199781 2347038 2732686 1816475 1822062 1844163 1976786 2162674 2582737 2786313 2035817 2970339 2637454 2469150 1814939 2786765 2684016 1888560 
"4096/128" 2505520 2732251 1860943 1857522 2700046 2144319 1785514 2471637 1799541 1786999 1830214 2336505 2882622 1763158 2306392 1777753 2574223 1918508 1793342 2497507 
"4096/256" 2645985 1890222 2500779 2246966 2541097 1797281 2451183 1832752 2528382 1881528 2422495 1838440 1825353 2494606 2668590 2143516 1865186 2216526 1805972 2294686 
"4096/512" 2592090 2366110 2663212 2138713 2046000 2008682 1974060 1967504 2807257 1946770 2594046 2649658 2612190 2582737 2832715 1888353 2344476 2747106 1958756 2914902 
"4096/1024" 2257893 2409584 2921843 2712408 3005151 2908979 2919360 2189130 2230918 3096138 2241981 2196407 2950952 2221399 3207709 2603876 3138560 3119752 2872500 2907010 
"4096/2048" 3311586 3360164 3394019 3643812 2461720 2365133 3497668 2374613 3266255 3485604 3509816 3494822 2367741 3029528 3524939 3471518 3522048 3506950 2391139 3107900 
"4096/4096" 2745350 2696232 1926684 1975877 2901120 2512850 2830848 1939298 1967279 2862450 2734426 1982718 2410937 2840208 2465960 2850576 2848213 1933841 2876348 3385325 
"8192/4" 1295576 1556231 1273818 1481099 1598141 1481929 1261842 1255847 1268926 1556513 1257225 1244971 1226134 1236148 1253785 1265561 1239135 1202785 1543300 1270474 
"8192/8" 1576293 2158030 1534615 1732644 1555949 1534889 1756470 1526909 1501749 1513924 1510596 1601568 1518407 1504247 1517267 1710647 1632539 1658304 1426200 1517870 
"8192/16" 1807569 1979269 1718175 1714574 2138288 1687046 2056754 1682090 1812432 1668045 1837143 1869835 1678065 2485368 1892284 1673488 1833907 1924289 1627667 1678721 
"8192/32" 2529090 1847118 2362174 1829416 1816456 1770499 1777092 1791080 1718863 1778932 1778932 2640861 1771229 1747092 1775806 1764045 1925799 1761332 1972112 1790147 
"8192/64" 2010304 2043421 2089270 1881920 1797263 1819245 1830585 1817128 1820402 1789774 1818764 2703616 2649414 1780130 1830975 1813197 1791360 1987857 1795291 1815208 
"8192/128" 2222520 2499107 1822816 1842562 1805574 2605614 1769769 1792107 1792575 2422291 2187430 2640861 1764045 2249880 1981552 1790987 1792949 2222952 1804816 1840982 
"8192/256" 2463804 2606405 2417349 1822429 1862638 2832670 1834691 1788563 1794166 1957506 2845572 1770043 2712581 2338541 2376552 1903396 1781330 2001871 1788283 1777736 
"8192/512" 2642689 2214641 2651254 2180490 2067645 1894998 2322733 1815208 1855497 2934020 2583476 2297264 2115772 2382815 2303733 1816456 1829805 1990391 1804816 2647780 
"8192/1024" 2612151 2585031 2191476 2452724 2351344 2053681 1850401 2093598 1913572 2892524 2217643 2458515 2189242 2686914 2575343 1898558 1919452 2546334 1803963 1436635 
"8192/2048" 2343166 2853370 3062418 2862403 2659668 3375615 2647780 2109278 2980855 2312104 2392438 2906963 2762968 3028408 2853370 2814110 2772107 2276714 2108113 2658845 
"8192/4096" 2852423 3159282 2360065 3230268 3183872 3340825 2478019 2377210 3072825 2283827 3270236 3052081 3136212 3061326 2279433 3064603 3100554 2373761 2288238 2315376 
"8192/8192" 2387617 2130597 1882848 2304351 2563240 1884604 2257419 2201586 2817109 2509877 1852096 1849206 2732426 2676241 1931645 2080793 2142154 2169475 1451198 2941555 
"16384/4" 1339644 1296305 1302694 1343520 1736488 1692397 1273837 1276416 1672828 1666904 1311470 1266723 1274026 1269109 1611665 1582238 1686292 1277698 1653110 1257014 
"16384/8" 1570845 1567692 1554746 1561884 1562168 1548440 1542289 1832871 1551376 1514518 1537802 1839642 1507409 1518299 2003436 1913562 1839642 1545063 1527649 1535088 
"16384/16" 2164065 2157746 1708597 2255848 1713839 1704867 2167478 1710213 1702080 1667915 2077321 1696073 1692397 1667551 1934136 1694818 2045721 2542923 1966627 1649935 
"16384/32" 2161478 1850042 1841712 2331623 2181584 1802818 1796080 2194472 1804238 1736137 2205671 2179577 1799843 2637902 1794907 1797912 2204539 1705460 1741329 1815775 
