Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"262144/256" 6372325 8973568 7035892 8191018 9018614 
"262144/512" 6171872 6236778 8329961 8701297 8629928 
"262144/1024" 8354138 7776951 8115686 7746814 8769657 
"262144/2048" 8706464 8070947 8825194 8224595 8159652 
"262144/4096" 6203560 6967100 6626126 6376649 6864748 
"262144/8192" 5618788 4820858 5260876 5584315 5385807 
"262144/16384" 5629260 5430201 5316458 5615775 5338865 
"524288/64" 8889690 6867080 8467590 8911738 8244168 
"524288/128" 8089735 9086467 8749343 9081401 9040073 
"524288/256" 9029012 8577443 8851439 9092290 7820645 
"524288/512" 9121859 8639517 7196821 9019383 9020641 
"524288/1024" 9091613 8056304 9095900 8928636 7594838 
"524288/2048" 6700339 8684864 6934842 8991246 8928129 
"524288/4096" 6645144 7329202 6809390 7038365 7219124 
"524288/8192" 5675091 5684995 5672881 5669824 5689083 
"524288/16384" 5676879 5106089 5634406 5643212 5664435 
