Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"262144/256" 2346246 2346962 2693239 2384794 2324898 
"262144/512" 2447935 2387643 2611283 2696455 2363657 
"262144/1024" 2763016 2339447 2619370 2655595 2683399 
"262144/2048" 2606479 2282428 2560846 2479953 2522968 
"262144/4096" 2555008 2165903 2213995 2211999 2376434 
"262144/8192" 2514762 2622700 2222969 2531693 2461421 
"262144/16384" 2720776 2886411 2874481 2794029 2705778 
"524288/64" 2709331 2901814 2529346 2922585 2804397 
"524288/128" 2641688 2847672 2506049 2802614 2490065 
"524288/256" 2627340 2318146 2655832 2701765 2759541 
"524288/512" 2721948 2412736 2403504 2711516 2728093 
"524288/1024" 2633066 2499205 2605753 2673575 2698814 
"524288/2048" 2518111 2442035 2644363 2499634 2543247 
"524288/4096" 2408569 2333374 2337097 2465555 2360371 
"524288/8192" 2509539 2436100 2510693 2443424 2316629 
"524288/16384" 2681903 2616010 2649793 2762318 2404978 
