Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"262144/256" 3931843 3984982 3042487 3342175 3523389 
"262144/512" 2872056 2949018 2919296 3055618 3180281 
"262144/1024" 3338481 3659746 3505349 2841608 3293096 
"262144/2048" 2415204 2714690 3272056 3192748 2756042 
"262144/4096" 2893963 2662308 2576707 3580913 3536853 
"262144/8192" 2896326 3172078 3087901 3115533 3050066 
"262144/16384" 2983483 3057572 3347854 3875630 3771640 
"524288/64" 4449907 3936480 4550282 4576418 4207563 
"524288/128" 3398595 3207439 3404757 4363870 3632558 
"524288/256" 3940479 3519164 3798743 3201192 3536516 
"524288/512" 3925216 3426001 3349010 3507690 3697690 
"524288/1024" 3180280 3228754 3615133 3560941 3528923 
"524288/2048" 3743363 3082360 3366648 2989388 3279237 
"524288/4096" 3452373 2968957 3403513 2952256 3303434 
"524288/8192" 3201173 3571397 3581693 3372730 3206635 
"524288/16384" 3137813 3618297 3515080 3897672 3507080 
