Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"262144/256" 8982438 8440458 8470500 8278407 8902581 
"262144/512" 9128228 9103213 8951723 8796458 8877854 
"262144/1024" 8969834 9074138 8970127 9118614 8111854 
"262144/2048" 8950193 9047556 8976278 9085535 8905538 
"262144/4096" 7179461 7430397 7103393 7168088 7211056 
"262144/8192" 5693829 5689145 5640551 5685056 5675578 
"262144/16384" 5634481 5657210 5653050 5685292 5673733 
"524288/64" 9124585 9066200 9036507 9027603 9005606 
"524288/128" 9028085 9024528 9058506 9093531 9137286 
"524288/256" 8471309 9140286 9054105 9167952 9183995 
"524288/512" 9034168 8283359 9166538 9152117 8405415 
"524288/1024" 9149566 9169404 8417159 8349089 9034613 
"524288/2048" 9059439 9144277 8371337 8843678 9112825 
"524288/4096" 7331255 7520141 7248751 7191878 7267557 
"524288/8192" 5705290 5694505 5703988 5641142 5550778 
"524288/16384" 5722423 5732746 5733434 5663443 5552082 
