Mode 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 
"262144/256" 6668969 8629115 8535864 8527523 7468300 
"262144/512" 9068525 8631351 7329598 8465022 9485596 
"262144/1024" 8581969 8494582 7839889 9580230 7551964 
"262144/2048" 7815425 7660564 8446424 8466912 9139990 
"262144/4096" 6180719 7407320 5536289 7542173 7266240 
"262144/8192" 6110848 5225025 5515101 6586512 5931513 
"262144/16384" 5364209 5243389 6216502 6102640 6408911 
"524288/64" 9099514 9068555 10645424 9621005 9011658 
"524288/128" 9214705 7651496 11513704 7072456 9189483 
"524288/256" 9231068 8090599 11165739 9246516 7315208 
"524288/512" 10737428 8279835 8110502 9347768 9369993 
"524288/1024" 10013912 9330316 8251283 10752181 9239368 
"524288/2048" 9238397 7664029 10065432 10827943 11917545 
"524288/4096" 8968803 8377907 8047784 6531400 6099201 
"524288/8192" 6333504 6423135 6334891 5569942 6826830 
"524288/16384" 5855492 6239889 5740963 6622151 6558359 
