Mode results-cache-enc-comp results-cache-noenc-comp results-cache-noenc-nocomp results-nocache-enc-comp results-nocache-enc-comp-2 results-nocache-noenc-comp results-nocache-noenc-nocomp 
262144-2048 721109 911266 261832 999736 701841 876501 276701 
262144-4096 601175 802031 241035 862579 652784 864052 367219 
262144-8192 586202 786257 229470 1068697 818631 946319 428547 
262144-16384 699175 431583 545142 1246986 948045 863287 561745 
524288-64 247035 318229 145291 372429 100917 187881 53686 
524288-128 371518 352817 172584 441622 175381 400108 74473 
524288-256 405632 501801 160364 810907 198947 510996 97767 
524288-512 455210 364334 151285 882531 238219 530770 137001 
524288-1024 545255 400955 163151 977474 326690 731296 192464 
524288-2048 600809 806985 193342 989599 481314 858545 246569 
524288-4096 672523 389287 309684 1085826 544777 899534 335931 
524288-8192 382456 791776 233779 1326193 767407 1000719 428338 
524288-16384 576155 719208 359735 1519737 932386 914737 541537 
